# Raster Studio interface strings, ja. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	日本語
The name is the file File > Export > Slices writes this slice as. The URL and Alt Tag go into the HTML page it writes beside the images.	名前は、ファイル > 書き出し > スライスがこのスライスを書き込むファイル名です。URL と Alt タグは画像と一緒に書き出す HTML ページに入ります。
The new canvas is smaller — content outside it will be clipped.	新しいカンバスの方が小さいため、はみ出した内容は切り取られます。
The next text layer the Type tool creates starts with this style.	文字ツールで次に作成するテキストレイヤーはこのスタイルで始まります。
The panel is already on this side	パネルは既にこちら側にあります
The path encloses no pixel of the canvas	パスがカンバスのピクセルを 1 つも囲んでいません
The position must be a finite number	位置は有限の数値にしてください
The preview runs the real brush engine.	プレビューは実際のブラシエンジンで描画します。
The resolution must be 1 to 2400 ppi	解像度は 1〜2400 ppi にしてください
The resolution must be {min} to {max} dpi	解像度は {min}〜{max} dpi にしてください
The rulers and the size readouts use this unit	定規とサイズの表示でこの単位を使用します
The scale must be between 1% and 1000%	比率は 1%〜1000% にしてください
The selection is kept with the document under this name	選択範囲はこの名前でドキュメントとともに保存されます
The source and destination must be different folders	ソースと保存先は別のフォルダーにしてください
The steps this snapshot named have been discarded	このスナップショットが指していたステップは破棄されました
The table needs a name	テーブルには名前が必要です
The warp has not changed	ワープは変わっていません
There are no guides to slice along	スライスに使えるガイドがありません
There are no slices to clear	消去するスライスがありません
There is no history to clear	消去するヒストリーがありません
There is no live selection to combine with	組み合わせる選択範囲がありません
These are matrix-shaper profiles, which carry no perceptual or saturation tables: those two intents convert as Relative Colorimetric.	これらは知覚的テーブルや彩度テーブルを持たないマトリックス型プロファイルです。この 2 つのマッチング方法は相対的な色域を維持として変換されます。
Thin	シン
Third-party notices	サードパーティに関する通知
This Layer	このレイヤー
This adjustment has no panel controls	この調整にはパネルのコントロールがありません
This adjustment has no settings.	この調整には設定がありません。
This build keeps channels on layers; it has no free-standing alpha channels yet	このビルドではチャンネルをレイヤーに保持します。独立したアルファチャンネルはまだありません
This effect is off. Tick it in the list to edit it.	この効果はオフです。編集するにはリストでチェックを入れてください。
This format cannot store CMYK, so the document is written as RGB. Choose JPEG or TIFF for CMYK.	この形式は CMYK を保存できないため、ドキュメントは RGB で書き込まれます。CMYK には JPEG または TIFF を選んでください。
This format could not be previewed.	この形式はプレビューできませんでした。
This format has no metadata slot: nothing is embedded	この形式にはメタデータの格納場所がありません。何も埋め込まれません
This format has no palette, so the indexed colours are written as RGB. Choose PNG or GIF for the palette.	この形式にはパレットがないため、インデックスカラーは RGB で書き込まれます。パレットには PNG または GIF を選んでください。
This format stores 8 bits per channel	この形式はチャンネルあたり 8 bit で保存します
This is a Lab document. No format here stores Lab, so it is converted to RGB on export.	これは Lab ドキュメントです。ここには Lab を保存できる形式がないため、書き出し時に RGB に変換されます。
This layer has no mask	このレイヤーにはマスクがありません
This panel is already at the bottom of its dock	このパネルは既にドックの一番下にあります
This panel is already at the top of its dock	このパネルは既にドックの一番上にあります
This tool has no options	このツールにはオプションがありません
This tool is already at its defaults	このツールは既に初期設定です
This window cannot read screen pixels, so the eyedropper is unavailable	このウィンドウは画面のピクセルを読み取れないため、スポイトは使用できません
This works on a pixel layer; the active layer is a {kind}	これはピクセルレイヤーで動作します。アクティブなレイヤーは{kind}です
This works on an 8-bit document	これは 8 bit ドキュメントで動作します
This works on an RGB document	これは RGB ドキュメントで動作します
Threshold	2 階調化
Threshold…	2 階調化…
Thumbnail Size	サムネールサイズ
Thumbnail size	サムネールのサイズ
Thumbnails by Document	ドキュメント別サムネール
Thumbnails by Layer	レイヤー別サムネール
Tiles/List	タイル/リスト
Tiles…	タイル…
Tilt-Shift…	チルトシフト…
Timeline	タイムライン
Tint	着色
Tint hue	着色の色相
Tint saturation	着色の彩度
To canvas	カンバスへ
Toggle Link	リンクを切り替え
Tonal width	階調の幅
Tone	トーン
Tone and Detail	トーンとディテール
Tool Presets	ツールプリセット
Top	上
Top Edges	上端
Top Left	左上
Top Left Pixel Color	左上のピクセルの色
Top Right	右上
Top left	左上
Top right	右上
Trace Contour…	輪郭のトレース…
Traces the active layer's colours into shape layers, one per colour.	アクティブなレイヤーのカラーを、カラーごとに 1 つのシェイプレイヤーにトレースします。
Transform	変形
Transform Layer	レイヤーを変形
Transform Selection	選択範囲を変形
Transparency	透明度
Transparent Pixels	透明ピクセル
Trim Away	トリミングする部分
Trim…	トリミング…
Tritone	トライトーン
Turn on Resample to change the pixel count.	ピクセル数を変えるには「再サンプル」をオンにしてください。
Twirl…	渦巻き…
Twist	ねじれ
Two variables share a name	2 つの変数が同じ名前です
Type	文字
Type a zoom level	ズームレベルを入力
Type is edited in Character and Paragraph	文字は文字パネルと段落パネルで編集します
Type tool defaults	文字ツールの初期設定
UI scale	UI の拡大率
URL	URL
US Letter	US レター
Ultra Condensed	ウルトラコンデンス
Ultra Expanded	ウルトラエキスパンド
Underlying Layer	下になっているレイヤー
Undo	取り消し
Ungroup Layers	レイヤーのグループ解除
Uniform	均等
Unite Shapes	シェイプを結合
Units	単位
Unmake Frames	フレームを解除
Unsaved changes	未保存の変更
Unsharp Mask…	アンシャープマスク…
Update the applied comp from the layers	適用中のカンプをレイヤーから更新
Use Black Point Compensation	黒点の補正を使用
Use global light	包括光源を使用
Using:	使用中：
Vanishing Point…	消点…
Variables	変数
Variance	分散
Vector Mask	ベクトルマスク
Vector density	ベクトルの濃度
Vector enabled	ベクトル有効
Vector feather	ベクトルのぼかし
Vector invert	ベクトルを反転
Vector mask	ベクトルマスク
Vectorize	ベクトル化
Vectorize Bitmap	ビットマップをベクトル化
Vectorize Bitmap…	ビットマップをベクトル化…
Vertical Centers	垂直方向中央
Vertical Distortion	垂直方向の歪み
Vertical center guide	垂直方向の中央ガイド
Vertical scale, in percent: stretches the glyphs about the baseline; leading is unchanged	垂直比率（%）：ベースラインを基準に字形を伸縮します。行送りは変わりません
Vertically	垂直方向
Vibrance	自然な彩度
Vibrance…	自然な彩度…
View	表示
Violet	バイオレット
Visibility	表示
Visible adjustment layers	表示中の調整レイヤー
Vivid Light	ビビッドライト
W	W
WEBP…	WEBP…
Waiting for the composite…	合成画像を待機中…
Warm	暖色
Warp	ワープ
Warp Style	ワープスタイル
Warp Text	ワープテキスト
Warp Text…	ワープテキスト…
Wave	波形
Wavelet Decompose	ウェーブレット分解
Wavelet Decompose splits into 2 to 7 scales	ウェーブレット分解は 2〜7 スケールに分割します
Wavelet Decompose works on an sRGB document	ウェーブレット分解は sRGB ドキュメントで動作します
Wavelet Decompose: the layer has no pixels	ウェーブレット分解：レイヤーにピクセルがありません
Wavelet Decompose: {n} detail layers over a residual; the source layer is hidden	ウェーブレット分解：残差の上に {n} 個のディテールレイヤー。ソースレイヤーは非表示です
Wavelet Decompose…	ウェーブレット分解…
Wave…	波形…
Web (216)	Web（216）
WebP (lossless)	WebP（可逆）
WebP (lossy)	WebP（非可逆）
Weight	太さ
White	ホワイト
White to Black	白から黒に
Whites	白レベル
Width	幅
Width and height must be at least 1 pixel	幅と高さは 1 ピクセル以上にしてください
Width must be between 1 and 250 pixels	幅は 1〜250 ピクセルにしてください
Width to 110%	幅を 110% に
Width to 125%	幅を 125% に
Width to 80%	幅を 80% に
Width to 90%	幅を 90% に
Window	ウィンドウ
Wind…	風…
With Handles	ハンドル付き
Work Path	作業用パス
Workspace	ワークスペース
Wrap to box	ボックスで折り返す
Writes the visible adjustment layers, applied to an identity lattice, as a 3D LUT (.cube).	表示中の調整レイヤーを恒等格子に適用し、3D LUT（.cube）として書き出します。
Written as CMYK: a naive ink model, not an ICC press profile.	CMYK として書き込み：簡易なインキモデルで、ICC の印刷プロファイルではありません。
Written as XMP into PNG, JPEG and TIFF files by Export As.	書き出し形式で PNG、JPEG、TIFF ファイルに XMP として書き込まれます。
Written with the document's palette.	ドキュメントのパレットで書き込みました。
Yellow	イエロー
Yellow / Blue	イエロー / ブルー
Yellows	イエロー系
ZigZag…	ジグザグ…
Zoom In	ズームイン
Zoom Out	ズームアウト
Zoom in	ズームイン
Zoom out	ズームアウト
Zoom to Selection	選択範囲にズーム
a layer could not be rewritten	レイヤーを書き換えられませんでした
before / after	前 / 後
changed	変更済み
content thumbnail — click to edit the layer's pixels	コンテンツのサムネール — クリックしてレイヤーのピクセルを編集
dpi	dpi
edits are aimed at this mask — right-click for view and mask options	編集はこのマスクが対象です — 右クリックで表示とマスクのオプション
lines past the box	ボックスからはみ出した行
mask off	マスクオフ
mask thumbnail — click to edit the layer's mask	マスクのサムネール — クリックしてレイヤーのマスクを編集
minutes (0 is off)	分（0 でオフ）
no drop	ドロップ不可
px	px
records here	ここに記録
skipped on play:	再生時にスキップ：
the layers could not be added	レイヤーを追加できませんでした
the profile cannot be transformed ({error})	プロファイルを変換できません（{error}）
to	〜
vector mask thumbnail — click to edit the vector mask	ベクトルマスクのサムネール — クリックしてベクトルマスクを編集
{format}: the timeline, {frames} frames at {fps} fps over {length} ms; each frame shows the layers at its time	{format}：タイムライン、{fps} fps で {frames} フレーム、{length} ms。各フレームはその時点のレイヤーを表示します
{label} is not answered by this route	このルートは{label}に応答しません
{label} was refused: {reason}	{label}は拒否されました：{reason}
{name} Residual	{name} 残差
{name} Scale {k}	{name} スケール {k}
{name}: {n} pages	{name}：{n} ページ
{n} slices from the guides ({cols} x {rows}); they replace the slices there were	ガイドから {n} 個のスライス（{cols} x {rows}）。既存のスライスを置き換えます
{path} is a {space} profile; an RGB document takes an RGB profile	{path} は {space} プロファイルです。RGB ドキュメントには RGB プロファイルが必要です
{path} is {len} bytes, larger than any colour profile	{path} は {len} バイトで、どのカラープロファイルよりも大きいです
{reason}; this one is {space}	{reason}。このドキュメントは {space} です
