# Raster Studio interface strings, ko. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	한국어
The CSV names a variable that is not defined:	CSV에 정의되지 않은 변수 이름이 있습니다:
The active layer is not in the document	활성 레이어가 문서에 없습니다
The active smart object shows each image of the source folder in turn; each result is exported as a PNG to the destination folder.	활성 고급 개체에 소스 폴더의 각 이미지를 차례로 표시하고, 각 결과를 PNG로 대상 폴더에 내보냅니다.
The amount must be within	값은 다음 범위 안이어야 합니다
The angle must be a finite number of degrees	각도는 유한한 도 수여야 합니다
The balanced default for photographs.	사진에 맞는 균형 잡힌 기본값입니다.
The canvas grows to fit the rotated image.	회전한 이미지가 들어가도록 캔버스가 커집니다.
The canvas must be at least 1 x 1 pixel	캔버스는 1 x 1픽셀 이상이어야 합니다
The cell size must be 2 to 200 pixels	셀 크기는 2~200픽셀이어야 합니다
The cut is empty: paint more of the part to keep.	잘라낸 결과가 비어 있습니다. 남길 부분을 더 칠하세요.
The destination is the profile the document already has	대상이 문서의 기존 프로필과 같습니다
The destination must be another folder than the source.	대상 폴더는 소스 폴더와 달라야 합니다.
The document has no layers	문서에 레이어가 없습니다
The document is already in {name}	문서가 이미 {name}입니다
The document is already tagged with this profile	문서에 이미 이 프로필이 지정되어 있습니다
The document is already tagged {name}	문서에 이미 {name}이(가) 지정되어 있습니다
The document's own profile: {error}	문서 자체 프로필: {error}
The first {shown} of {n} pages are listed; a longer file opens only those.	{n}페이지 중 처음 {shown}페이지가 나열됩니다. 더 긴 파일은 이 페이지만 엽니다.
The image has no opaque pixels to count	이미지에 셀 수 있는 불투명 픽셀이 없습니다
The ink is laid over the image; the selection, if there is one, is where it prints.	잉크는 이미지 위에 놓이며, 선택 영역이 있으면 그곳에 인쇄됩니다.
The last stop has no segment after it.	마지막 정지점 뒤에는 구간이 없습니다.
The layer has no pixels to cut.	레이어에 잘라낼 픽셀이 없습니다.
The layer's pixels are locked	레이어의 픽셀이 잠겨 있습니다
The list is empty	목록이 비어 있습니다
The margins and gutters leave no room for a column or a row	여백과 간격 때문에 열이나 행을 둘 공간이 없습니다
The margins and gutters leave no room for a column or a row.	여백과 간격 때문에 열이나 행을 둘 공간이 없습니다.
The name cannot be empty	이름은 비워 둘 수 없습니다
The name has not changed	이름이 바뀌지 않았습니다
The name is the file File > Export > Slices writes this slice as. The URL and Alt Tag go into the HTML page it writes beside the images.	이름은 파일 > 내보내기 > 분할 영역이 이 분할 영역을 기록하는 파일 이름입니다. URL과 Alt 태그는 이미지 옆에 기록되는 HTML 페이지에 들어갑니다.
The new canvas is smaller — content outside it will be clipped.	새 캔버스가 더 작습니다. 캔버스 밖의 내용은 잘립니다.
The next text layer the Type tool creates starts with this style.	문자 도구로 다음에 만드는 텍스트 레이어는 이 스타일로 시작합니다.
The panel is already on this side	패널이 이미 이쪽에 있습니다
The path encloses no pixel of the canvas	패스가 캔버스의 픽셀을 하나도 둘러싸지 않습니다
The position must be a finite number	위치는 유한한 숫자여야 합니다
The preview runs the real brush engine.	미리 보기는 실제 브러시 엔진을 사용합니다.
The resolution must be 1 to 2400 ppi	해상도는 1~2400ppi여야 합니다
The resolution must be {min} to {max} dpi	해상도는 {min}~{max}dpi여야 합니다
The rulers and the size readouts use this unit	눈금자와 크기 판독값에 이 단위를 사용합니다
The scale must be between 1% and 1000%	비율은 1%에서 1000% 사이여야 합니다
The selection is kept with the document under this name	선택 영역은 이 이름으로 문서와 함께 보관됩니다
The source and destination must be different folders	소스와 대상은 서로 다른 폴더여야 합니다
The steps this snapshot named have been discarded	이 스냅숏이 가리키던 단계는 삭제되었습니다
The table needs a name	표에는 이름이 필요합니다
The warp has not changed	뒤틀기가 바뀌지 않았습니다
There are no guides to slice along	분할할 안내선이 없습니다
There are no slices to clear	지울 분할 영역이 없습니다
There is no history to clear	지울 작업 내역이 없습니다
There is no live selection to combine with	결합할 활성 선택 영역이 없습니다
These are matrix-shaper profiles, which carry no perceptual or saturation tables: those two intents convert as Relative Colorimetric.	지각 표나 채도 표가 없는 매트릭스 셰이퍼 프로필입니다. 이 두 의도는 상대 색도계로 변환됩니다.
Thin	가늘게
Third-party notices	타사 고지 사항
This Layer	이 레이어
This adjustment has no panel controls	이 조정에는 패널 컨트롤이 없습니다
This adjustment has no settings.	이 조정에는 설정이 없습니다.
This build keeps channels on layers; it has no free-standing alpha channels yet	이 빌드는 채널을 레이어에 보관하며, 아직 독립된 알파 채널이 없습니다
This effect is off. Tick it in the list to edit it.	이 효과가 꺼져 있습니다. 편집하려면 목록에서 선택하세요.
This format cannot store CMYK, so the document is written as RGB. Choose JPEG or TIFF for CMYK.	이 형식은 CMYK를 저장할 수 없어 문서가 RGB로 기록됩니다. CMYK에는 JPEG 또는 TIFF를 선택하세요.
This format could not be previewed.	이 형식은 미리 볼 수 없습니다.
This format has no metadata slot: nothing is embedded	이 형식에는 메타데이터 공간이 없어 아무것도 포함되지 않습니다
This format has no palette, so the indexed colours are written as RGB. Choose PNG or GIF for the palette.	이 형식에는 팔레트가 없어 인덱스 색상이 RGB로 기록됩니다. 팔레트에는 PNG 또는 GIF를 선택하세요.
This format stores 8 bits per channel	이 형식은 채널당 8비트를 저장합니다
This is a Lab document. No format here stores Lab, so it is converted to RGB on export.	Lab 문서입니다. 여기에는 Lab을 저장하는 형식이 없어 내보낼 때 RGB로 변환됩니다.
This layer has no mask	이 레이어에는 마스크가 없습니다
This panel is already at the bottom of its dock	이 패널은 이미 도크의 맨 아래에 있습니다
This panel is already at the top of its dock	이 패널은 이미 도크의 맨 위에 있습니다
This tool has no options	이 도구에는 옵션이 없습니다
This tool is already at its defaults	이 도구는 이미 기본값입니다
This window cannot read screen pixels, so the eyedropper is unavailable	이 창은 화면 픽셀을 읽을 수 없어 스포이드를 사용할 수 없습니다
This works on a pixel layer; the active layer is a {kind}	픽셀 레이어에서 작동합니다. 활성 레이어는 {kind}입니다
This works on an 8-bit document	8비트 문서에서 작동합니다
This works on an RGB document	RGB 문서에서 작동합니다
Threshold	한계값
Threshold…	한계값…
Thumbnail Size	축소판 크기
Thumbnail size	축소판 크기
Thumbnails by Document	문서별 축소판
Thumbnails by Layer	레이어별 축소판
Tiles/List	타일/목록
Tiles…	타일…
Tilt-Shift…	기울기-이동…
Timeline	타임라인
Tint	색조
Tint hue	색조 색상
Tint saturation	색조 채도
To canvas	캔버스에
Toggle Link	연결 전환
Tonal width	계조 폭
Tone	톤
Tone and Detail	톤 및 세부
Tool Presets	도구 사전 설정
Top	위쪽
Top Edges	위쪽 가장자리
Top Left	왼쪽 위
Top Left Pixel Color	왼쪽 위 픽셀 색상
Top Right	오른쪽 위
Top left	왼쪽 위
Top right	오른쪽 위
Trace Contour…	윤곽선 추적…
Traces the active layer's colours into shape layers, one per colour.	활성 레이어의 색상을 색상마다 하나씩 모양 레이어로 추적합니다.
Transform	변형
Transform Layer	레이어 변형
Transform Selection	선택 영역 변형
Transparency	투명도
Transparent Pixels	투명 픽셀
Trim	재단
Trim Away	잘라낼 부분
Trim…	재단…
Tritone	3도
Turn on Resample to change the pixel count.	픽셀 수를 바꾸려면 리샘플링을 켜세요.
Twirl…	돌리기…
Twist	비틀기
Two variables share a name	두 변수의 이름이 같습니다
Type	문자
Type a zoom level	확대/축소 수준 입력
Type is edited in Character and Paragraph	문자는 문자 및 단락에서 편집합니다
Type tool defaults	문자 도구 기본값
UI scale	UI 배율
URL	URL
US Letter	US Letter
Ultra Condensed	매우 좁게
Ultra Expanded	매우 넓게
Underlying Layer	하위 레이어
Undo	실행 취소
Ungroup Layers	레이어 그룹 해제
Uniform	균일
Unite Shapes	모양 결합
Units	단위
Unmake Frames	프레임 해제
Unsaved changes	저장되지 않은 변경 내용
Unsharp Mask…	언샵 마스크…
Update the applied comp from the layers	레이어에서 적용된 컴프 업데이트
Use Black Point Compensation	검정점 보정 사용
Use global light	전체 조명 사용
Using:	사용 중:
Vanishing Point…	소실점…
Variables	변수
Variance	분산
Vector Mask	벡터 마스크
Vector density	벡터 밀도
Vector enabled	벡터 사용
Vector feather	벡터 페더
Vector invert	벡터 반전
Vector mask	벡터 마스크
Vectorize	벡터화
Vectorize Bitmap	비트맵 벡터화
Vectorize Bitmap…	비트맵 벡터화…
Vertical Centers	세로 중앙
Vertical Distortion	세로 왜곡
Vertical center guide	세로 중앙 안내선
Vertical scale, in percent: stretches the glyphs about the baseline; leading is unchanged	세로 비율(%): 기준선을 중심으로 글리프를 늘립니다. 행간은 그대로입니다
Vertically	세로로
Vibrance	활기
Vibrance…	활기…
View	보기
Violet	보라
Visibility	가시성
Visible adjustment layers	보이는 조정 레이어
Vivid Light	선명한 라이트
W	W
WEBP…	WEBP…
Waiting for the composite…	합성 이미지 기다리는 중…
Warm	따뜻하게
Warp	뒤틀기
Warp Style	뒤틀기 스타일
Warp Text	텍스트 뒤틀기
Warp Text…	텍스트 뒤틀기…
Wave	파형
Wavelet Decompose	웨이블릿 분해
Wavelet Decompose splits into 2 to 7 scales	웨이블릿 분해는 2~7개 스케일로 나눕니다
Wavelet Decompose works on an sRGB document	웨이블릿 분해는 sRGB 문서에서 작동합니다
Wavelet Decompose: the layer has no pixels	웨이블릿 분해: 레이어에 픽셀이 없습니다
Wavelet Decompose: {n} detail layers over a residual; the source layer is hidden	웨이블릿 분해: 잔여물 위에 세부 레이어 {n}개. 소스 레이어는 숨겨졌습니다
Wavelet Decompose…	웨이블릿 분해…
Wave…	파형…
Web (216)	웹(216)
WebP (lossless)	WebP(무손실)
WebP (lossy)	WebP(손실)
Weight	두께
White	흰색
White to Black	흰색에서 검정으로
Whites	흰색 계열
Width	폭
Width and height must be at least 1 pixel	폭과 높이는 1픽셀 이상이어야 합니다
Width must be between 1 and 250 pixels	폭은 1~250픽셀이어야 합니다
Width to 110%	폭을 110%로
Width to 125%	폭을 125%로
Width to 80%	폭을 80%로
Width to 90%	폭을 90%로
Window	창
Wind…	바람…
With Handles	핸들 사용
Work Path	작업 패스
Workspace	작업 영역
Wrap to box	상자에 맞춰 줄 바꿈
Writes the visible adjustment layers, applied to an identity lattice, as a 3D LUT (.cube).	보이는 조정 레이어를 항등 격자에 적용하여 3D LUT(.cube)로 기록합니다.
Written as CMYK: a naive ink model, not an ICC press profile.	CMYK로 기록됨: 단순한 잉크 모델이며 ICC 인쇄 프로필이 아닙니다.
Written as XMP into PNG, JPEG and TIFF files by Export As.	내보내기 형식이 PNG, JPEG, TIFF 파일에 XMP로 기록합니다.
Written with the document's palette.	문서의 팔레트로 기록했습니다.
Yellow	노랑
Yellow / Blue	노랑 / 파랑
Yellows	노랑 계열
ZigZag…	지그재그…
Zoom In	확대
Zoom Out	축소
Zoom in	확대
Zoom out	축소
Zoom to Selection	선택 영역으로 확대/축소
a layer could not be rewritten	레이어를 다시 쓸 수 없습니다
before / after	이전 / 이후
changed	변경됨
content thumbnail — click to edit the layer's pixels	내용 축소판 — 클릭하여 레이어의 픽셀 편집
dpi	dpi
edits are aimed at this mask — right-click for view and mask options	편집 대상이 이 마스크입니다 — 마우스 오른쪽 버튼으로 보기 및 마스크 옵션
lines past the box	상자를 벗어난 줄
mask off	마스크 끔
mask thumbnail — click to edit the layer's mask	마스크 축소판 — 클릭하여 레이어의 마스크 편집
minutes (0 is off)	분(0은 끔)
no drop	놓을 수 없음
px	px
records here	여기에 기록
skipped on play:	재생 시 건너뜀:
the layers could not be added	레이어를 추가할 수 없습니다
the profile cannot be transformed ({error})	프로필을 변환할 수 없습니다({error})
to	~
vector mask thumbnail — click to edit the vector mask	벡터 마스크 축소판 — 클릭하여 벡터 마스크 편집
{format}: the timeline, {frames} frames at {fps} fps over {length} ms; each frame shows the layers at its time	{format}: 타임라인, {fps}fps로 {frames}프레임, {length}ms. 각 프레임은 해당 시점의 레이어를 보여 줍니다
{label} is not answered by this route	이 경로는 {label}에 응답하지 않습니다
{label} was refused: {reason}	{label}이(가) 거부되었습니다: {reason}
{name} Residual	{name} 잔여물
{name} Scale {k}	{name} 스케일 {k}
{name}: {n} pages	{name}: {n}페이지
{n} slices from the guides ({cols} x {rows}); they replace the slices there were	안내선에서 분할 영역 {n}개({cols} x {rows}). 기존 분할 영역을 대체합니다
{path} is a {space} profile; an RGB document takes an RGB profile	{path}은(는) {space} 프로필입니다. RGB 문서에는 RGB 프로필이 필요합니다
{path} is {len} bytes, larger than any colour profile	{path}은(는) {len}바이트로 어떤 색상 프로필보다 큽니다
{reason}; this one is {space}	{reason}. 이 문서는 {space}입니다
