# Raster Studio interface strings, ru. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Русский
The margins and gutters leave no room for a column or a row	Поля и промежутки не оставляют места для столбца или строки
The margins and gutters leave no room for a column or a row.	Поля и промежутки не оставляют места для столбца или строки.
The name cannot be empty	Имя не может быть пустым
The name has not changed	Имя не изменилось
The name is the file File > Export > Slices writes this slice as. The URL and Alt Tag go into the HTML page it writes beside the images.	Имя — это файл, под которым «Файл > Экспорт > Фрагменты» записывает этот фрагмент. URL и тег Alt попадают в HTML-страницу, записываемую рядом с изображениями.
The new canvas is smaller — content outside it will be clipped.	Новый холст меньше — содержимое за его пределами будет обрезано.
The next text layer the Type tool creates starts with this style.	Следующий текстовый слой, созданный инструментом «Текст», начнётся с этим стилем.
The panel is already on this side	Панель уже на этой стороне
The path encloses no pixel of the canvas	Контур не охватывает ни одного пиксела холста
The position must be a finite number	Положение должно быть конечным числом
The preview runs the real brush engine.	Просмотр использует настоящий движок кистей.
The resolution must be 1 to 2400 ppi	Разрешение должно быть от 1 до 2400 ppi
The resolution must be {min} to {max} dpi	Разрешение должно быть от {min} до {max} dpi
The rulers and the size readouts use this unit	Линейки и показатели размера используют эту единицу
The scale must be between 1% and 1000%	Масштаб должен быть от 1% до 1000%
The selection is kept with the document under this name	Выделение хранится с документом под этим именем
The source and destination must be different folders	Исходная папка и папка назначения должны различаться
The steps this snapshot named have been discarded	Шаги, на которые указывал этот снимок, удалены
The table needs a name	Таблице нужно имя
The warp has not changed	Деформация не изменилась
There are no guides to slice along	Нет направляющих, по которым можно разрезать
There are no slices to clear	Нет фрагментов для удаления
There is no history to clear	Нет истории для очистки
There is no live selection to combine with	Нет активного выделения для объединения
These are matrix-shaper profiles, which carry no perceptual or saturation tables: those two intents convert as Relative Colorimetric.	Это матричные профили без перцепционных таблиц и таблиц насыщенности: эти два метода преобразуются как относительный колориметрический.
Thin	Тонкий
Third-party notices	Уведомления третьих сторон
This Layer	Этот слой
This adjustment has no panel controls	У этой коррекции нет элементов управления на панели
This adjustment has no settings.	У этой коррекции нет параметров.
This build keeps channels on layers; it has no free-standing alpha channels yet	Эта сборка хранит каналы в слоях; отдельных альфа-каналов пока нет
This effect is off. Tick it in the list to edit it.	Этот эффект выключен. Отметьте его в списке, чтобы изменить.
This format cannot store CMYK, so the document is written as RGB. Choose JPEG or TIFF for CMYK.	Этот формат не хранит CMYK, поэтому документ записывается в RGB. Для CMYK выберите JPEG или TIFF.
This format could not be previewed.	Не удалось показать превью этого формата.
This format has no metadata slot: nothing is embedded	В этом формате нет места для метаданных: ничего не встраивается
This format has no palette, so the indexed colours are written as RGB. Choose PNG or GIF for the palette.	В этом формате нет палитры, поэтому индексированные цвета записываются в RGB. Для палитры выберите PNG или GIF.
This format stores 8 bits per channel	Этот формат хранит 8 бит на канал
This is a Lab document. No format here stores Lab, so it is converted to RGB on export.	Это документ Lab. Ни один формат здесь не хранит Lab, поэтому при экспорте он преобразуется в RGB.
This layer has no mask	У этого слоя нет маски
This panel is already at the bottom of its dock	Эта панель уже в самом низу своего дока
This panel is already at the top of its dock	Эта панель уже в самом верху своего дока
This tool has no options	У этого инструмента нет параметров
This tool is already at its defaults	У этого инструмента уже значения по умолчанию
This window cannot read screen pixels, so the eyedropper is unavailable	Это окно не может читать пикселы экрана, поэтому пипетка недоступна
This works on a pixel layer; the active layer is a {kind}	Это работает на пиксельном слое; активный слой — {kind}
This works on an 8-bit document	Это работает с 8-битным документом
This works on an RGB document	Это работает с документом RGB
Threshold	Изогелия
Threshold…	Изогелия…
Thumbnail Size	Размер миниатюр
Thumbnail size	Размер миниатюры
Thumbnails by Document	Миниатюры по документу
Thumbnails by Layer	Миниатюры по слою
Tiles/List	Плитки/Список
Tiles…	Разбиение на плитки…
Tilt-Shift…	Наклон-смещение…
Timeline	Шкала времени
Tint	Оттенок
Tint hue	Тон оттенка
Tint saturation	Насыщенность оттенка
To canvas	К холсту
Toggle Link	Переключить связь
Tonal width	Тоновая ширина
Tone	Тон
Tone and Detail	Тон и детализация
Tool Presets	Наборы параметров инструментов
Top	Верх
Top Edges	Верхние края
Top Left	Вверху слева
Top Left Pixel Color	Цвет верхнего левого пиксела
Top Right	Вверху справа
Top left	Вверху слева
Top right	Вверху справа
Trace Contour…	Трассировка контура…
Traces the active layer's colours into shape layers, one per colour.	Переводит цвета активного слоя в слои-фигуры, по одному на цвет.
Transform	Трансформирование
Transform Layer	Трансформировать слой
Transform Selection	Трансформировать выделенную область
Transparency	Прозрачность
Transparent Pixels	Прозрачные пикселы
Trim Away	Обрезать
Trim…	Тримминг…
Tritone	Триотон
Turn on Resample to change the pixel count.	Включите «Интерполяцию», чтобы изменить число пикселов.
Twirl…	Скручивание…
Twist	Скрутка
Two variables share a name	У двух переменных одинаковое имя
Type	Текст
Type a zoom level	Введите масштаб
Type is edited in Character and Paragraph	Текст редактируется на панелях «Символ» и «Абзац»
Type tool defaults	Параметры инструмента «Текст» по умолчанию
UI scale	Масштаб интерфейса
URL	URL
US Letter	US Letter
Ultra Condensed	Сверхсжатый
Ultra Expanded	Сверхрастянутый
Underlying Layer	Подлежащий слой
Undo	Отменить
Ungroup Layers	Разгруппировать слои
Uniform	Равномерное
Unite Shapes	Объединить фигуры
Units	Единицы
Unmake Frames	Разобрать кадры
Unsaved changes	Несохранённые изменения
Unsharp Mask…	Контурная резкость…
Update the applied comp from the layers	Обновить применённую композицию по слоям
Use Black Point Compensation	Использовать компенсацию точки чёрного
Use global light	Глобальное освещение
Using:	Используется:
Vanishing Point…	Исправление перспективы…
Variables	Переменные
Variance	Дисперсия
Vector Mask	Векторная маска
Vector density	Плотность вектора
Vector enabled	Вектор включён
Vector feather	Растушёвка вектора
Vector invert	Инверсия вектора
Vector mask	Векторная маска
Vectorize	Векторизовать
Vectorize Bitmap	Векторизовать растр
Vectorize Bitmap…	Векторизовать растр…
Vertical Centers	Центры по вертикали
Vertical Distortion	Искажение по вертикали
Vertical center guide	Вертикальная центральная направляющая
Vertical scale, in percent: stretches the glyphs about the baseline; leading is unchanged	Масштаб по вертикали в процентах: растягивает глифы относительно базовой линии; интерлиньяж не меняется
Vertically	По вертикали
Vibrance	Вибрация
Vibrance…	Вибрация…
View	Просмотр
Violet	Фиолетовый
Visibility	Видимость
Visible adjustment layers	Видимые корректирующие слои
Vivid Light	Яркий свет
W	Ш
WEBP…	WEBP…
Waiting for the composite…	Ожидание совмещённого изображения…
Warm	Тёплый
Warp	Деформация
Warp Style	Стиль деформации
Warp Text	Деформировать текст
Warp Text…	Деформировать текст…
Wave	Волна
Wavelet Decompose	Вейвлет-разложение
Wavelet Decompose splits into 2 to 7 scales	Вейвлет-разложение делит на 2–7 масштабов
Wavelet Decompose works on an sRGB document	Вейвлет-разложение работает с документом sRGB
Wavelet Decompose: the layer has no pixels	Вейвлет-разложение: в слое нет пикселов
Wavelet Decompose: {n} detail layers over a residual; the source layer is hidden	Вейвлет-разложение: {n} слоёв деталей над остатком; исходный слой скрыт
Wavelet Decompose…	Вейвлет-разложение…
Wave…	Волна…
Web (216)	Веб (216)
WebP (lossless)	WebP (без потерь)
WebP (lossy)	WebP (с потерями)
Weight	Насыщенность шрифта
White	Белый
White to Black	От белого к чёрному
Whites	Белые
Width	Ширина
Width and height must be at least 1 pixel	Ширина и высота должны быть не меньше 1 пиксела
Width must be between 1 and 250 pixels	Ширина должна быть от 1 до 250 пикселов
Width to 110%	Ширина до 110%
Width to 125%	Ширина до 125%
Width to 80%	Ширина до 80%
Width to 90%	Ширина до 90%
Window	Окно
Wind…	Ветер…
With Handles	С маркерами
Work Path	Рабочий контур
Workspace	Рабочая среда
Wrap to box	Переносить по рамке
Writes the visible adjustment layers, applied to an identity lattice, as a 3D LUT (.cube).	Записывает видимые корректирующие слои, применённые к единичной решётке, как 3D LUT (.cube).
Written as CMYK: a naive ink model, not an ICC press profile.	Записано в CMYK: упрощённая модель красок, не печатный профиль ICC.
Written as XMP into PNG, JPEG and TIFF files by Export As.	Записывается командой «Экспортировать как» в виде XMP в файлы PNG, JPEG и TIFF.
Written with the document's palette.	Записано с палитрой документа.
Yellow	Жёлтый
Yellow / Blue	Жёлтый / Синий
Yellows	Жёлтые
ZigZag…	Зигзаг…
Zoom In	Увеличить
Zoom Out	Уменьшить
Zoom in	Увеличить
Zoom out	Уменьшить
Zoom to Selection	Масштаб по выделению
a layer could not be rewritten	не удалось перезаписать слой
before / after	до / после
changed	изменено
content thumbnail — click to edit the layer's pixels	миниатюра содержимого — щёлкните, чтобы редактировать пикселы слоя
dpi	dpi
edits are aimed at this mask — right-click for view and mask options	правки направлены на эту маску — правый щелчок открывает параметры вида и маски
lines past the box	строк за пределами рамки
mask off	маска выкл.
mask thumbnail — click to edit the layer's mask	миниатюра маски — щёлкните, чтобы редактировать маску слоя
minutes (0 is off)	минут (0 — выкл.)
no drop	нельзя бросить
px	пикс.
records here	запись сюда
skipped on play:	пропускается при воспроизведении:
the layers could not be added	не удалось добавить слои
the profile cannot be transformed ({error})	профиль нельзя преобразовать ({error})
to	до
vector mask thumbnail — click to edit the vector mask	миниатюра векторной маски — щёлкните, чтобы редактировать векторную маску
{format}: the timeline, {frames} frames at {fps} fps over {length} ms; each frame shows the layers at its time	{format}: шкала времени, {frames} кадров при {fps} кадр/с за {length} мс; каждый кадр показывает слои в своё время
{label} is not answered by this route	На {label} этот путь не отвечает
{label} was refused: {reason}	{label} отклонено: {reason}
{name} Residual	{name} Остаток
{name} Scale {k}	{name} Масштаб {k}
{name}: {n} pages	{name}: страниц: {n}
{n} slices from the guides ({cols} x {rows}); they replace the slices there were	Фрагментов по направляющим: {n} ({cols} x {rows}); они заменяют прежние фрагменты
{path} is a {space} profile; an RGB document takes an RGB profile	{path} — профиль {space}; документу RGB нужен профиль RGB
{path} is {len} bytes, larger than any colour profile	{path} занимает {len} байт — больше любого цветового профиля
{reason}; this one is {space}	{reason}; у этого — {space}
