# Raster Studio interface strings, pl. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Polski
Show / hide the layer style	Pokaż / ukryj styl warstwy
Show / hide this channel	Pokaż / ukryj ten kanał
Show / hide this effect	Pokaż / ukryj ten efekt
Show / hide this path	Pokaż / ukryj tę ścieżkę
Show / hide this smart filter	Pokaż / ukryj ten filtr inteligentny
Show Layers	Pokaż warstwy
Show every layer	Pokaż każdą warstwę
Show or hide the position, size and alignment fields	Pokaż lub ukryj pola położenia, rozmiaru i wyrównania
Show or hide the recorded steps	Pokaż lub ukryj nagrane kroki
Show or hide the set's actions	Pokaż lub ukryj operacje zestawu
Show this alpha channel alone in grayscale and paint into it; click again to store it	Pokaż sam ten kanał alfa w skali szarości i maluj w nim; kliknij ponownie, aby go zapisać
Sides	Boki
Similar	Podobne
Size	Rozmiar
Size jitter	Rozrzut rozmiaru
Skew	Pochylenie
Skewness	Skośność
Slice Options	Opcje plasterka
Slice Options…	Opcje plasterka…
Slices	Plasterki
Slices from Guides	Plasterki z linii pomocniczych
Slices…	Plasterki…
Small	Mały
Small Caps	Kapitaliki
Smart Blur…	Inteligentne rozmycie…
Smart Filter	Filtr inteligentny
Smart Filters	Filtry inteligentne
Smart Guides	Inteligentne linie pomocnicze
Smart Object	Obiekt inteligentny
Smart Sharpen…	Inteligentne wyostrzanie…
Smart filter mask: click to paint on it	Maska inteligentnego filtra: kliknij, aby na niej malować
Smooth	Gładkie
Smooth Selection	Wygładź zaznaczenie
Smooth draws grey-scale edges; None draws hard, aliased edges. The glyph scaler has one smooth mode, so Sharp, Crisp and Strong are not offered.	Gładkie rysuje krawędzie w skali szarości; Brak rysuje ostre, poszarpane krawędzie. Skaler glifów ma jeden gładki tryb, więc Ostre, Wyraźne i Mocne nie są dostępne.
Smooth…	Wygładź…
Snap	Przyciąganie
Snap To	Przyciągaj do
Soft Light	Łagodne światło
Soft Round 100	Miękki okrągły 100
Soft Round 24	Miękki okrągły 24
Soft and cheap. Good for a small enlargement.	Miękka i tania. Dobra do niewielkiego powiększenia.
Softer Brush	Miększy pędzel
Solarize	Solaryzacja
Solid Color…	Jednolity kolor…
Solidity	Nieprzezroczystość
Source	Źródło
Source 1	Źródło 1
Source 2	Źródło 2
Source Space	Przestrzeń źródłowa
Spectrum	Widmo
Spherize…	Sferyzacja…
Spin Blur…	Rozmycie obrotowe…
Splits the active layer into Linear Light detail layers over a residual, finest on top; together they recomposite to the layer.	Dzieli aktywną warstwę na warstwy szczegółów w trybie Światło liniowe nad resztą, najdrobniejsze na górze; razem składają się z powrotem w warstwę.
Spot Channel	Kanał koloru dodatkowego
Spot Channel Options…	Opcje kanału koloru dodatkowego…
Spot channel: composited over the image as its ink	Kanał koloru dodatkowego: nakładany na obraz jako jego farba
Square	Kwadrat
Squeeze	Ściśnięcie
Stack Mode	Tryb stosu
Stamp Visible	Stempel widocznych
Standard	Standardowy
Standard Deviation	Odchylenie standardowe
Standard ligatures	Standardowe ligatury
Step Backward	Krok wstecz
Step Forward	Krok naprzód
Stop	Zatrzymaj
Straighten Layer	Wyprostuj warstwę
Strength	Siła
Stroke	Obrys
Stroke path with the foreground colour at the brush size, on a new shape layer	Obrysuj ścieżkę kolorem pierwszego planu w rozmiarze pędzla na nowej warstwie kształtu
Stroke…	Obrysuj…
Style	Styl
Styles	Style
Styles enabled	Style włączone
Stylize	Stylizacja
Sub	Indeks dolny
Subject	Obiekt
Subtract	Odejmij
Subtract Front Shape	Odejmij przedni kształt
Subtract from Selection	Odejmij od zaznaczenia
Summation	Suma
Sunset	Zachód słońca
Super	Indeks górny
Superscript raises and shrinks the text; subscript lowers and shrinks it.	Indeks górny podnosi i zmniejsza tekst; indeks dolny obniża go i zmniejsza.
Surface Blur…	Rozmycie powierzchniowe…
Swap colours  (X)	Zamień kolory  (X)
Swap foreground and background (X)	Zamień kolor pierwszego planu i tła (X)
Swatches	Próbki
TGA…	TGA…
TIF…	TIF…
Templates	Szablony
Text	Tekst
Text overflows the box	Tekst wychodzi poza ramkę
Text replacement	Zastępowanie tekstu
Texture Dilation…	Rozszerzanie tekstury…
That channel is no longer in the document	Tego kanału nie ma już w dokumencie
That file could not be used:	Nie można użyć tego pliku:
The CSV ends inside a quoted field	CSV kończy się wewnątrz pola w cudzysłowie
The CSV has a header but no data sets	CSV ma nagłówek, ale nie ma zbiorów danych
The CSV is empty	CSV jest pusty
The CSV names a variable that is not defined:	CSV wymienia zmienną, która nie jest zdefiniowana:
The active layer has no layer style to save	Aktywna warstwa nie ma stylu warstwy do zapisania
The active layer is not in the document	Aktywnej warstwy nie ma w dokumencie
The active smart object shows each image of the source folder in turn; each result is exported as a PNG to the destination folder.	Aktywny obiekt inteligentny pokazuje po kolei każdy obraz z folderu źródłowego; każdy wynik jest eksportowany jako PNG do folderu docelowego.
The amount must be within	Wartość musi mieścić się w zakresie
The angle must be a finite number of degrees	Kąt musi być skończoną liczbą stopni
The balanced default for photographs.	Wyważone ustawienie domyślne dla zdjęć.
The canvas grows to fit the rotated image.	Płótno rośnie, aby zmieścić obrócony obraz.
The canvas must be at least 1 x 1 pixel	Płótno musi mieć co najmniej 1 x 1 piksel
The cell size must be 2 to 200 pixels	Rozmiar komórki musi wynosić od 2 do 200 pikseli
The cut is empty: paint more of the part to keep.	Wycięcie jest puste: zamaluj więcej z części, która ma zostać.
The destination is the profile the document already has	Docelowy jest profil, który dokument już ma
The destination must be another folder than the source.	Folder docelowy musi być inny niż źródłowy.
The document has no layers	Dokument nie ma warstw
The document is already in {name}	Dokument jest już w {name}
The document is already tagged with this profile	Dokument jest już oznaczony tym profilem
The document is already tagged {name}	Dokument jest już oznaczony profilem {name}
The document's own profile: {error}	Własny profil dokumentu: {error}
The first {shown} of {n} pages are listed; a longer file opens only those.	Wyświetlono pierwsze {shown} z {n} stron; dłuższy plik otwiera tylko je.
The image has no opaque pixels to count	Obraz nie ma nieprzezroczystych pikseli do policzenia
The ink is laid over the image; the selection, if there is one, is where it prints.	Farba jest nakładana na obraz; zaznaczenie, jeśli istnieje, wyznacza miejsce druku.
The last stop has no segment after it.	Po ostatnim punkcie nie ma już segmentu.
The layer has no pixels to cut.	Warstwa nie ma pikseli do wycięcia.
The layer's pixels are locked	Piksele warstwy są zablokowane
The list is empty	Lista jest pusta
The margins and gutters leave no room for a column or a row	Marginesy i odstępy nie zostawiają miejsca na kolumnę ani wiersz
The margins and gutters leave no room for a column or a row.	Marginesy i odstępy nie zostawiają miejsca na kolumnę ani wiersz.
The name cannot be empty	Nazwa nie może być pusta
The name has not changed	Nazwa się nie zmieniła
The name is the file File > Export > Slices writes this slice as. The URL and Alt Tag go into the HTML page it writes beside the images.	Nazwa to plik, pod którym Plik > Eksportuj > Plasterki zapisuje ten plasterek. URL i znacznik Alt trafiają na stronę HTML zapisywaną obok obrazów.
The new canvas is smaller — content outside it will be clipped.	Nowe płótno jest mniejsze — zawartość poza nim zostanie przycięta.
The next text layer the Type tool creates starts with this style.	Następna warstwa tekstowa utworzona narzędziem Tekst zaczyna się tym stylem.
The panel is already on this side	Panel jest już po tej stronie
The path encloses no pixel of the canvas	Ścieżka nie obejmuje żadnego piksela płótna
The position must be a finite number	Położenie musi być skończoną liczbą
The preview runs the real brush engine.	Podgląd korzysta z prawdziwego silnika pędzli.
The resolution must be 1 to 2400 ppi	Rozdzielczość musi wynosić od 1 do 2400 ppi
The resolution must be {min} to {max} dpi	Rozdzielczość musi wynosić od {min} do {max} dpi
The rulers and the size readouts use this unit	Miarki i odczyty rozmiaru używają tej jednostki
The scale must be between 1% and 1000%	Skala musi mieścić się między 1% a 1000%
The selection is kept with the document under this name	Zaznaczenie jest przechowywane z dokumentem pod tą nazwą
The source and destination must be different folders	Źródło i miejsce docelowe muszą być różnymi folderami
The steps this snapshot named have been discarded	Kroki wskazane przez tę migawkę zostały odrzucone
The table needs a name	Tablica musi mieć nazwę
The warp has not changed	Wypaczenie się nie zmieniło
There are no guides to slice along	Nie ma linii pomocniczych, wzdłuż których można ciąć
There are no slices to clear	Nie ma plasterków do usunięcia
There is no history to clear	Nie ma historii do wyczyszczenia
There is no live selection to combine with	Nie ma aktywnego zaznaczenia, z którym można połączyć
These are matrix-shaper profiles, which carry no perceptual or saturation tables: those two intents convert as Relative Colorimetric.	To profile macierzowe bez tablic percepcyjnych ani nasycenia: te dwie metody konwertują jako Względny kolorymetryczny.
Thin	Cienka
Third-party notices	Informacje o oprogramowaniu firm trzecich
This Layer	Ta warstwa
This adjustment has no panel controls	To dopasowanie nie ma kontrolek w panelu
This adjustment has no settings.	To dopasowanie nie ma ustawień.
This build keeps channels on layers; it has no free-standing alpha channels yet	Ta wersja trzyma kanały w warstwach; nie ma jeszcze wolnostojących kanałów alfa
This effect is off. Tick it in the list to edit it.	Ten efekt jest wyłączony. Zaznacz go na liście, aby go edytować.
This format cannot store CMYK, so the document is written as RGB. Choose JPEG or TIFF for CMYK.	Ten format nie przechowuje CMYK, więc dokument jest zapisywany jako RGB. Wybierz JPEG lub TIFF dla CMYK.
This format could not be previewed.	Nie można wyświetlić podglądu tego formatu.
This format has no metadata slot: nothing is embedded	Ten format nie ma miejsca na metadane: nic nie jest osadzane
This format has no palette, so the indexed colours are written as RGB. Choose PNG or GIF for the palette.	Ten format nie ma palety, więc kolory indeksowane są zapisywane jako RGB. Wybierz PNG lub GIF dla palety.
This format stores 8 bits per channel	Ten format przechowuje 8 bitów na kanał
This is a Lab document. No format here stores Lab, so it is converted to RGB on export.	To dokument Lab. Żaden format tutaj nie przechowuje Lab, więc przy eksporcie jest konwertowany na RGB.
This layer has no mask	Ta warstwa nie ma maski
This panel is already at the bottom of its dock	Ten panel jest już na dole swojego doku
This panel is already at the top of its dock	Ten panel jest już na górze swojego doku
This tool has no options	To narzędzie nie ma opcji
This tool is already at its defaults	To narzędzie ma już ustawienia domyślne
This window cannot read screen pixels, so the eyedropper is unavailable	To okno nie może odczytać pikseli ekranu, więc kroplomierz jest niedostępny
This works on a pixel layer; the active layer is a {kind}	To działa na warstwie pikseli; aktywna warstwa to {kind}
This works on an 8-bit document	To działa na dokumencie 8-bitowym
This works on an RGB document	To działa na dokumencie RGB
Threshold	Próg
Threshold…	Próg…
Thumbnail Size	Rozmiar miniatury
Thumbnail size	Rozmiar miniatury
Thumbnails by Document	Miniatury wg dokumentu
Thumbnails by Layer	Miniatury wg warstwy
Tiles/List	Kafelki/Lista
Tiles…	Kafelki…
Tilt-Shift…	Przesunięcie pochylenia…
Timeline	Oś czasu
Tint	Zabarwienie
Tint hue	Barwa zabarwienia
Tint saturation	Nasycenie zabarwienia
To canvas	Do płótna
Toggle Link	Przełącz połączenie
Tonal width	Szerokość tonalna
Tone	Ton
Tone and Detail	Ton i szczegóły
Tool Presets	Ustawienia narzędzi
Top	Góra
Top Edges	Górne krawędzie
Top Left	Lewy górny
Top Left Pixel Color	Kolor lewego górnego piksela
Top Right	Prawy górny
Top left	Lewy górny
Top right	Prawy górny
Trace Contour…	Kontur…
Traces the active layer's colours into shape layers, one per colour.	Obrysowuje kolory aktywnej warstwy w warstwy kształtów, po jednej na kolor.
Transform	Przekształć
Transform Layer	Przekształć warstwę
Transform Selection	Przekształć zaznaczenie
Transparency	Przezroczystość
Transparent Pixels	Przezroczyste piksele
Trim Away	Przytnij
Trim…	Przytnij…
Tritone	Trzytonowy
Turn on Resample to change the pixel count.	Włącz Ponowne próbkowanie, aby zmienić liczbę pikseli.
Twirl…	Wir…
Twist	Skręcenie
Two variables share a name	Dwie zmienne mają tę samą nazwę
Type	Tekst
Type a zoom level	Wpisz poziom powiększenia
Type is edited in Character and Paragraph	Tekst edytuje się w panelach Znak i Akapit
Type tool defaults	Ustawienia domyślne narzędzia Tekst
UI scale	Skala interfejsu
URL	URL
US Letter	US Letter
Ultra Condensed	Bardzo mocno zwężony
Ultra Expanded	Bardzo mocno rozszerzony
Underlying Layer	Warstwa pod spodem
Undo	Cofnij
Ungroup Layers	Rozgrupuj warstwy
Uniform	Jednolity
Unite Shapes	Połącz kształty
Units	Jednostki
Unmake Frames	Usuń klatki
Unsaved changes	Niezapisane zmiany
Unsharp Mask…	Maska wyostrzająca…
Update the applied comp from the layers	Zaktualizuj zastosowaną kompozycję z warstw
Use Black Point Compensation	Użyj kompensacji punktu czerni
Use global light	Użyj globalnego światła
Using:	Używa:
Vanishing Point…	Punkt zbiegu…
Variables	Zmienne
Variance	Wariancja
Vector Mask	Maska wektorowa
Vector density	Gęstość wektora
Vector enabled	Wektor włączony
Vector feather	Wtapianie wektora
Vector invert	Odwróć wektor
Vector mask	Maska wektorowa
Vectorize	Wektoryzuj
Vectorize Bitmap	Wektoryzuj bitmapę
Vectorize Bitmap…	Wektoryzuj bitmapę…
Vertical Centers	Środki w pionie
Vertical Distortion	Zniekształcenie pionowe
Vertical center guide	Pionowa linia środkowa
Vertical scale, in percent: stretches the glyphs about the baseline; leading is unchanged	Skala pionowa w procentach: rozciąga glify wokół linii bazowej; interlinia się nie zmienia
Vertically	Pionowo
Vibrance	Jaskrawość
Vibrance…	Jaskrawość…
View	Widok
Violet	Fioletowy
Visibility	Widoczność
Visible adjustment layers	Widoczne warstwy dopasowania
Vivid Light	Jaskrawe światło
W	S
WEBP…	WEBP…
Waiting for the composite…	Oczekiwanie na złożony obraz…
Warm	Ciepły
Warp	Wypaczenie
Warp Style	Styl wypaczenia
Warp Text	Wypacz tekst
Warp Text…	Wypacz tekst…
Wave	Fala
Wavelet Decompose	Rozkład falkowy
Wavelet Decompose splits into 2 to 7 scales	Rozkład falkowy dzieli na od 2 do 7 skal
Wavelet Decompose works on an sRGB document	Rozkład falkowy działa na dokumencie sRGB
Wavelet Decompose: the layer has no pixels	Rozkład falkowy: warstwa nie ma pikseli
Wavelet Decompose: {n} detail layers over a residual; the source layer is hidden	Rozkład falkowy: {n} warstw szczegółów nad resztą; warstwa źródłowa jest ukryta
Wavelet Decompose…	Rozkład falkowy…
Wave…	Fale…
Web (216)	Sieć (216)
WebP (lossless)	WebP (bezstratny)
WebP (lossy)	WebP (stratny)
Weight	Grubość
White	Biały
White to Black	Od bieli do czerni
Whites	Biele
Width	Szerokość
Width and height must be at least 1 pixel	Szerokość i wysokość muszą wynosić co najmniej 1 piksel
Width must be between 1 and 250 pixels	Szerokość musi mieścić się między 1 a 250 pikselami
Width to 110%	Szerokość do 110%
Width to 125%	Szerokość do 125%
Width to 80%	Szerokość do 80%
Width to 90%	Szerokość do 90%
Window	Okno
Wind…	Wiatr…
With Handles	Z uchwytami
Work Path	Ścieżka robocza
Workspace	Obszar roboczy
Wrap to box	Zawijaj do ramki
Writes the visible adjustment layers, applied to an identity lattice, as a 3D LUT (.cube).	Zapisuje widoczne warstwy dopasowania, zastosowane do siatki tożsamościowej, jako LUT 3D (.cube).
Written as CMYK: a naive ink model, not an ICC press profile.	Zapisano jako CMYK: uproszczony model farb, nie profil drukarski ICC.
Written as XMP into PNG, JPEG and TIFF files by Export As.	Zapisywane jako XMP w plikach PNG, JPEG i TIFF przez Eksportuj jako.
Written with the document's palette.	Zapisano z paletą dokumentu.
Yellow	Żółty
Yellow / Blue	Żółty / Niebieski
Yellows	Żółte
ZigZag…	Zygzak…
Zoom In	Powiększ
Zoom Out	Pomniejsz
Zoom in	Powiększ
Zoom out	Pomniejsz
Zoom to Selection	Powiększ do zaznaczenia
a layer could not be rewritten	nie udało się przepisać warstwy
before / after	przed / po
changed	zmieniono
content thumbnail — click to edit the layer's pixels	miniatura zawartości — kliknij, aby edytować piksele warstwy
dpi	dpi
edits are aimed at this mask — right-click for view and mask options	edycje trafiają do tej maski — kliknij prawym przyciskiem, aby zobaczyć opcje widoku i maski
lines past the box	wierszy poza ramką
mask off	maska wyłączona
mask thumbnail — click to edit the layer's mask	miniatura maski — kliknij, aby edytować maskę warstwy
minutes (0 is off)	minuty (0 = wyłączone)
no drop	nie można upuścić
px	px
records here	nagrywa tutaj
skipped on play:	pomijane przy odtwarzaniu:
the layers could not be added	nie udało się dodać warstw
the profile cannot be transformed ({error})	nie można przekształcić profilu ({error})
to	do
vector mask thumbnail — click to edit the vector mask	miniatura maski wektorowej — kliknij, aby edytować maskę wektorową
{format}: the timeline, {frames} frames at {fps} fps over {length} ms; each frame shows the layers at its time	{format}: oś czasu, {frames} klatek przy {fps} kl./s w ciągu {length} ms; każda klatka pokazuje warstwy w swoim czasie
{label} is not answered by this route	Ta ścieżka nie obsługuje {label}
{label} was refused: {reason}	Odrzucono {label}: {reason}
{name} Residual	{name} Reszta
{name} Scale {k}	{name} Skala {k}
{name}: {n} pages	{name}: stron: {n}
{n} slices from the guides ({cols} x {rows}); they replace the slices there were	Plasterki z linii pomocniczych: {n} ({cols} x {rows}); zastępują dotychczasowe plasterki
{path} is a {space} profile; an RGB document takes an RGB profile	{path} to profil {space}; dokument RGB przyjmuje profil RGB
{path} is {len} bytes, larger than any colour profile	{path} ma {len} bajtów, więcej niż jakikolwiek profil koloru
{reason}; this one is {space}	{reason}; ten jest {space}
