# Raster Studio interface strings, de. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Deutsch
Sharpest, with a little ringing on hard edges.	Am schärfsten, mit etwas Überschwingen an harten Kanten.
Shear…	Verbiegen…
Shift Edge	Kante verschieben
Show	Einblenden
Show / Hide Layer	Ebene ein-/ausblenden
Show / hide layer	Ebene ein-/ausblenden
Show / hide the effects list	Effektliste ein-/ausblenden
Show / hide the layer style	Ebenenstil ein-/ausblenden
Show / hide this channel	Diesen Kanal ein-/ausblenden
Show / hide this effect	Diesen Effekt ein-/ausblenden
Show / hide this path	Diesen Pfad ein-/ausblenden
Show / hide this smart filter	Diesen Smartfilter ein-/ausblenden
Show Layers	Ebenen einblenden
Show every layer	Jede Ebene einblenden
Show or hide the position, size and alignment fields	Felder für Position, Größe und Ausrichtung ein- oder ausblenden
Show or hide the recorded steps	Aufgezeichnete Schritte ein- oder ausblenden
Show or hide the set's actions	Aktionen des Satzes ein- oder ausblenden
Show this alpha channel alone in grayscale and paint into it; click again to store it	Diesen Alphakanal allein in Graustufen zeigen und hineinmalen; erneut klicken, um ihn zu speichern
Sides	Seiten
Similar	Ähnliches auswählen
Size	Größe
Size jitter	Größen-Jitter
Skew	Neigen
Skewness	Schiefe
Slice Options	Slice-Optionen
Slice Options…	Slice-Optionen…
Slices	Slices
Slices from Guides	Slices aus Hilfslinien
Slices…	Slices…
Small	Klein
Small Caps	Kapitälchen
Smart Blur…	Selektiver Weichzeichner…
Smart Filter	Smartfilter
Smart Filters	Smartfilter
Smart Guides	Intelligente Hilfslinien
Smart Object	Smartobjekt
Smart Sharpen…	Selektiver Scharfzeichner…
Smart filter mask: click to paint on it	Smartfilter-Maske: Klicken, um darauf zu malen
Smooth	Glatt
Smooth Selection	Auswahl glätten
Smooth draws grey-scale edges; None draws hard, aliased edges. The glyph scaler has one smooth mode, so Sharp, Crisp and Strong are not offered.	Glatt zeichnet Graustufenkanten; Ohne zeichnet harte, treppenförmige Kanten. Der Glyphen-Skalierer hat nur einen glatten Modus, daher werden Scharf, Schärfer und Stark nicht angeboten.
Smooth…	Abrunden…
Snap	Ausrichten
Snap To	Ausrichten an
Soft Light	Weiches Licht
Soft Round 100	Weich rund 100
Soft Round 24	Weich rund 24
Soft and cheap. Good for a small enlargement.	Weich und schnell. Gut für eine kleine Vergrößerung.
Softer Brush	Weicherer Pinsel
Solarize	Solarisation
Solid Color…	Volltonfarbe…
Solidity	Deckung
Source	Quelle
Source 1	Quelle 1
Source 2	Quelle 2
Source Space	Quellfarbraum
Spectrum	Spektrum
Spherize…	Wölben…
Spin Blur…	Drehungsunschärfe…
Splits the active layer into Linear Light detail layers over a residual, finest on top; together they recomposite to the layer.	Teilt die aktive Ebene in Detailebenen mit Lineares Licht über einem Rest auf, die feinste oben; zusammen ergeben sie wieder die Ebene.
Spot Channel	Volltonfarbkanal
Spot Channel Options…	Volltonfarbkanal-Optionen…
Spot channel: composited over the image as its ink	Volltonfarbkanal: als seine Druckfarbe über das Bild gelegt
Square	Quadrat
Squeeze	Stauchen
Stack Mode	Stapelmodus
Stamp Visible	Sichtbares stempeln
Standard	Standard
Standard Deviation	Standardabweichung
Standard ligatures	Standardligaturen
Step Backward	Schritt zurück
Step Forward	Schritt vorwärts
Stop	Stopp
Straighten Layer	Ebene gerade ausrichten
Strength	Stärke
Stroke	Kontur
Stroke path with the foreground colour at the brush size, on a new shape layer	Pfad mit der Vordergrundfarbe in Pinselgröße auf einer neuen Formebene nachziehen
Stroke…	Kontur…
Style	Stil
Styles	Stile
Styles enabled	Stile aktiviert
Stylize	Stilisierungsfilter
Sub	Tief
Subject	Motiv
Subtract	Subtrahieren
Subtract Front Shape	Vordere Form subtrahieren
Subtract from Selection	Von Auswahl subtrahieren
Summation	Summe
Sunset	Sonnenuntergang
Super	Hoch
Superscript raises and shrinks the text; subscript lowers and shrinks it.	Hochgestellt hebt und verkleinert den Text; tiefgestellt senkt und verkleinert ihn.
Surface Blur…	Matter machen…
Swap colours  (X)	Farben tauschen  (X)
Swap foreground and background (X)	Vorder- und Hintergrundfarbe tauschen (X)
Swatches	Farbfelder
TGA…	TGA…
TIF…	TIF…
Templates	Vorlagen
Text	Text
Text overflows the box	Der Text läuft über den Rahmen hinaus
Text replacement	Textersetzung
Texture Dilation…	Texturdehnung…
That channel is no longer in the document	Dieser Kanal ist nicht mehr im Dokument
That file could not be used:	Diese Datei konnte nicht verwendet werden:
The CSV ends inside a quoted field	Die CSV endet innerhalb eines Feldes in Anführungszeichen
The CSV has a header but no data sets	Die CSV hat eine Kopfzeile, aber keine Datensätze
The CSV is empty	Die CSV ist leer
The CSV names a variable that is not defined:	Die CSV nennt eine Variable, die nicht definiert ist:
The active layer has no layer style to save	Die aktive Ebene hat keinen Ebenenstil zum Speichern
The active layer is not in the document	Die aktive Ebene ist nicht im Dokument
The active smart object shows each image of the source folder in turn; each result is exported as a PNG to the destination folder.	Das aktive Smartobjekt zeigt nacheinander jedes Bild des Quellordners; jedes Ergebnis wird als PNG in den Zielordner exportiert.
The amount must be within	Der Betrag muss liegen innerhalb von
The angle must be a finite number of degrees	Der Winkel muss eine endliche Gradzahl sein
The balanced default for photographs.	Die ausgewogene Standardeinstellung für Fotos.
The canvas grows to fit the rotated image.	Die Arbeitsfläche wächst, damit das gedrehte Bild hineinpasst.
The canvas must be at least 1 x 1 pixel	Die Arbeitsfläche muss mindestens 1 x 1 Pixel groß sein
The cell size must be 2 to 200 pixels	Die Zellengröße muss 2 bis 200 Pixel betragen
The cut is empty: paint more of the part to keep.	Der Schnitt ist leer: Malen Sie mehr vom Teil, der bleiben soll.
The destination is the profile the document already has	Das Ziel ist das Profil, das das Dokument bereits hat
The destination must be another folder than the source.	Das Ziel muss ein anderer Ordner als die Quelle sein.
The document has no layers	Das Dokument hat keine Ebenen
The document is already in {name}	Das Dokument ist bereits in {name}
The document is already tagged with this profile	Das Dokument ist bereits mit diesem Profil versehen
The document is already tagged {name}	Das Dokument ist bereits mit {name} versehen
The document's own profile: {error}	Eigenes Profil des Dokuments: {error}
The first {shown} of {n} pages are listed; a longer file opens only those.	Die ersten {shown} von {n} Seiten sind aufgeführt; eine längere Datei öffnet nur diese.
The image has no opaque pixels to count	Das Bild hat keine deckenden Pixel zum Zählen
The ink is laid over the image; the selection, if there is one, is where it prints.	Die Druckfarbe wird über das Bild gelegt; gibt es eine Auswahl, wird dort gedruckt.
The last stop has no segment after it.	Nach der letzten Unterbrechung folgt kein Abschnitt.
The layer has no pixels to cut.	Die Ebene hat keine Pixel zum Ausschneiden.
The layer's pixels are locked	Die Pixel der Ebene sind fixiert
The list is empty	Die Liste ist leer
The margins and gutters leave no room for a column or a row	Ränder und Abstände lassen keinen Platz für eine Spalte oder Zeile
The margins and gutters leave no room for a column or a row.	Ränder und Abstände lassen keinen Platz für eine Spalte oder Zeile.
The name cannot be empty	Der Name darf nicht leer sein
The name has not changed	Der Name hat sich nicht geändert
The name is the file File > Export > Slices writes this slice as. The URL and Alt Tag go into the HTML page it writes beside the images.	Der Name ist die Datei, als die Datei > Exportieren > Slices diesen Slice schreibt. URL und Alt-Tag kommen in die HTML-Seite, die neben die Bilder geschrieben wird.
The new canvas is smaller — content outside it will be clipped.	Die neue Arbeitsfläche ist kleiner – Inhalt außerhalb wird abgeschnitten.
The next text layer the Type tool creates starts with this style.	Die nächste Textebene, die das Textwerkzeug erstellt, beginnt mit diesem Format.
The panel is already on this side	Das Bedienfeld ist bereits auf dieser Seite
The path encloses no pixel of the canvas	Der Pfad umschließt kein Pixel der Arbeitsfläche
The position must be a finite number	Die Position muss eine endliche Zahl sein
The preview runs the real brush engine.	Die Vorschau nutzt die echte Pinsel-Engine.
The resolution must be 1 to 2400 ppi	Die Auflösung muss 1 bis 2400 ppi betragen
The resolution must be {min} to {max} dpi	Die Auflösung muss {min} bis {max} dpi betragen
The rulers and the size readouts use this unit	Lineale und Größenanzeigen verwenden diese Einheit
The scale must be between 1% and 1000%	Die Skalierung muss zwischen 1 % und 1000 % liegen
The selection is kept with the document under this name	Die Auswahl wird unter diesem Namen mit dem Dokument gespeichert
The source and destination must be different folders	Quelle und Ziel müssen verschiedene Ordner sein
The steps this snapshot named have been discarded	Die Schritte, die dieser Schnappschuss benannte, wurden verworfen
The table needs a name	Die Tabelle braucht einen Namen
The warp has not changed	Die Verkrümmung hat sich nicht geändert
There are no guides to slice along	Es gibt keine Hilfslinien zum Aufteilen
There are no slices to clear	Es gibt keine Slices zum Löschen
There is no history to clear	Es gibt kein Protokoll zum Löschen
There is no live selection to combine with	Es gibt keine aktive Auswahl zum Kombinieren
These are matrix-shaper profiles, which carry no perceptual or saturation tables: those two intents convert as Relative Colorimetric.	Dies sind Matrix-Shaper-Profile ohne perzeptive oder Sättigungstabellen: Diese beiden Prioritäten werden als Relativ farbmetrisch umgewandelt.
Thin	Dünn
Third-party notices	Hinweise zu Drittanbietern
This Layer	Diese Ebene
This adjustment has no panel controls	Diese Einstellung hat keine Bedienfeld-Steuerelemente
This adjustment has no settings.	Diese Einstellung hat keine Einstellungen.
This build keeps channels on layers; it has no free-standing alpha channels yet	Dieser Build speichert Kanäle in Ebenen; freistehende Alphakanäle gibt es noch nicht
This effect is off. Tick it in the list to edit it.	Dieser Effekt ist aus. Aktivieren Sie ihn in der Liste, um ihn zu bearbeiten.
This format cannot store CMYK, so the document is written as RGB. Choose JPEG or TIFF for CMYK.	Dieses Format kann kein CMYK speichern, daher wird das Dokument als RGB geschrieben. Wählen Sie JPEG oder TIFF für CMYK.
This format could not be previewed.	Für dieses Format konnte keine Vorschau erstellt werden.
This format has no metadata slot: nothing is embedded	Dieses Format hat keinen Platz für Metadaten: Es wird nichts eingebettet
This format has no palette, so the indexed colours are written as RGB. Choose PNG or GIF for the palette.	Dieses Format hat keine Palette, daher werden die indizierten Farben als RGB geschrieben. Wählen Sie PNG oder GIF für die Palette.
This format stores 8 bits per channel	Dieses Format speichert 8 Bit pro Kanal
This is a Lab document. No format here stores Lab, so it is converted to RGB on export.	Dies ist ein Lab-Dokument. Kein Format hier speichert Lab, daher wird es beim Export in RGB umgewandelt.
This layer has no mask	Diese Ebene hat keine Maske
This panel is already at the bottom of its dock	Dieses Bedienfeld ist bereits ganz unten in seinem Dock
This panel is already at the top of its dock	Dieses Bedienfeld ist bereits ganz oben in seinem Dock
This tool has no options	Dieses Werkzeug hat keine Optionen
This tool is already at its defaults	Dieses Werkzeug hat bereits seine Standardwerte
This window cannot read screen pixels, so the eyedropper is unavailable	Dieses Fenster kann keine Bildschirmpixel lesen, daher ist die Pipette nicht verfügbar
This works on a pixel layer; the active layer is a {kind}	Das funktioniert auf einer Pixelebene; die aktive Ebene ist eine {kind}
This works on an 8-bit document	Das funktioniert mit einem 8-Bit-Dokument
This works on an RGB document	Das funktioniert mit einem RGB-Dokument
Threshold	Schwellenwert
Threshold…	Schwellenwert…
Thumbnail Size	Miniaturgröße
Thumbnail size	Miniaturgröße
Thumbnails by Document	Miniaturen nach Dokument
Thumbnails by Layer	Miniaturen nach Ebene
Tiles/List	Kacheln/Liste
Tiles…	Kacheln…
Tilt-Shift…	Tilt-Shift…
Timeline	Zeitleiste
Tint	Tönung
Tint hue	Tönungs-Farbton
Tint saturation	Tönungs-Sättigung
To canvas	An Arbeitsfläche
Toggle Link	Verknüpfung umschalten
Tonal width	Tonbreite
Tone	Tonwert
Tone and Detail	Tonwert und Detail
Tool Presets	Werkzeugvorgaben
Top	Oben
Top Edges	Oberkanten
Top Left	Oben links
Top Left Pixel Color	Farbe des Pixels oben links
Top Right	Oben rechts
Top left	Oben links
Top right	Oben rechts
Trace Contour…	Konturwerte finden…
Traces the active layer's colours into shape layers, one per colour.	Überträgt die Farben der aktiven Ebene in Formebenen, eine pro Farbe.
Transform	Transformieren
Transform Layer	Ebene transformieren
Transform Selection	Auswahl transformieren
Transparency	Transparenz
Transparent Pixels	Transparente Pixel
Trim Away	Wegschneiden
Trim…	Zuschneiden…
Tritone	Triplex
Turn on Resample to change the pixel count.	Aktivieren Sie Neu berechnen, um die Pixelanzahl zu ändern.
Twirl…	Strudel…
Twist	Verdrehen
Two variables share a name	Zwei Variablen haben denselben Namen
Type	Text
Type a zoom level	Zoomstufe eingeben
Type is edited in Character and Paragraph	Text wird in Zeichen und Absatz bearbeitet
Type tool defaults	Standards des Textwerkzeugs
UI scale	UI-Skalierung
URL	URL
US Letter	US Letter
Ultra Condensed	Ultraschmal
Ultra Expanded	Ultrabreit
Underlying Layer	Darunter liegende Ebene
Undo	Rückgängig
Ungroup Layers	Ebenengruppierung aufheben
Uniform	Gleichmäßig
Unite Shapes	Formen vereinigen
Units	Maßeinheiten
Unmake Frames	Frames auflösen
Unsaved changes	Nicht gespeicherte Änderungen
Unsharp Mask…	Unscharf maskieren…
Update the applied comp from the layers	Angewendete Komposition aus den Ebenen aktualisieren
Use Black Point Compensation	Tiefenkompensierung verwenden
Use global light	Globalen Lichteinfall verwenden
Using:	Verwendet:
Vanishing Point…	Fluchtpunkt…
Variables	Variablen
Variance	Varianz
Vector Mask	Vektormaske
Vector density	Vektordichte
Vector enabled	Vektor aktiviert
Vector feather	Vektor weiche Kante
Vector invert	Vektor umkehren
Vector mask	Vektormaske
Vectorize	Vektorisieren
Vectorize Bitmap	Bitmap vektorisieren
Vectorize Bitmap…	Bitmap vektorisieren…
Vertical Centers	Vertikale Mitten
Vertical Distortion	Vertikale Verzerrung
Vertical center guide	Hilfslinie vertikale Mitte
Vertical scale, in percent: stretches the glyphs about the baseline; leading is unchanged	Vertikale Skalierung in Prozent: streckt die Glyphen um die Grundlinie; der Zeilenabstand bleibt unverändert
Vertically	Vertikal
Vibrance	Dynamik
Vibrance…	Dynamik…
View	Ansicht
Violet	Violett
Visibility	Sichtbarkeit
Visible adjustment layers	Sichtbare Einstellungsebenen
Vivid Light	Strahlendes Licht
W	B
WEBP…	WEBP…
Waiting for the composite…	Warten auf das zusammengesetzte Bild…
Warm	Warm
Warp	Verkrümmen
Warp Style	Verkrümmungsart
Warp Text	Text verkrümmen
Warp Text…	Text verkrümmen…
Wave	Welle
Wavelet Decompose	Wavelet-Zerlegung
Wavelet Decompose splits into 2 to 7 scales	Die Wavelet-Zerlegung teilt in 2 bis 7 Stufen auf
Wavelet Decompose works on an sRGB document	Die Wavelet-Zerlegung funktioniert mit einem sRGB-Dokument
Wavelet Decompose: the layer has no pixels	Wavelet-Zerlegung: Die Ebene hat keine Pixel
Wavelet Decompose: {n} detail layers over a residual; the source layer is hidden	Wavelet-Zerlegung: {n} Detailebenen über einem Rest; die Quellebene ist ausgeblendet
Wavelet Decompose…	Wavelet-Zerlegung…
Wave…	Wellen…
Web (216)	Web (216)
WebP (lossless)	WebP (verlustfrei)
WebP (lossy)	WebP (verlustbehaftet)
Weight	Schriftschnitt
White	Weiß
White to Black	Weiß zu Schwarz
Whites	Weiß
Width	Breite
Width and height must be at least 1 pixel	Breite und Höhe müssen mindestens 1 Pixel betragen
Width must be between 1 and 250 pixels	Die Breite muss zwischen 1 und 250 Pixel liegen
Width to 110%	Breite auf 110 %
Width to 125%	Breite auf 125 %
Width to 80%	Breite auf 80 %
Width to 90%	Breite auf 90 %
Window	Fenster
Wind…	Wind…
With Handles	Mit Griffen
Work Path	Arbeitspfad
Workspace	Arbeitsbereich
Wrap to box	In Rahmen umbrechen
Writes the visible adjustment layers, applied to an identity lattice, as a 3D LUT (.cube).	Schreibt die sichtbaren Einstellungsebenen, angewendet auf ein Identitätsgitter, als 3D-LUT (.cube).
Written as CMYK: a naive ink model, not an ICC press profile.	Als CMYK geschrieben: ein einfaches Druckfarbenmodell, kein ICC-Druckprofil.
Written as XMP into PNG, JPEG and TIFF files by Export As.	Von Exportieren als als XMP in PNG-, JPEG- und TIFF-Dateien geschrieben.
Written with the document's palette.	Mit der Palette des Dokuments geschrieben.
Yellow	Gelb
Yellow / Blue	Gelb / Blau
Yellows	Gelbtöne
ZigZag…	Zickzack…
Zoom In	Einzoomen
Zoom Out	Auszoomen
Zoom in	Einzoomen
Zoom out	Auszoomen
Zoom to Selection	Auf Auswahl zoomen
a layer could not be rewritten	eine Ebene konnte nicht neu geschrieben werden
before / after	vorher / nachher
changed	geändert
content thumbnail — click to edit the layer's pixels	Inhaltsminiatur – klicken, um die Pixel der Ebene zu bearbeiten
dpi	dpi
edits are aimed at this mask — right-click for view and mask options	Bearbeitungen zielen auf diese Maske – Rechtsklick für Ansichts- und Maskenoptionen
lines past the box	Zeilen über den Rahmen hinaus
mask off	Maske aus
mask thumbnail — click to edit the layer's mask	Maskenminiatur – klicken, um die Maske der Ebene zu bearbeiten
minutes (0 is off)	Minuten (0 ist aus)
no drop	nicht ablegbar
px	px
records here	zeichnet hier auf
skipped on play:	beim Abspielen übersprungen:
the layers could not be added	die Ebenen konnten nicht hinzugefügt werden
the profile cannot be transformed ({error})	das Profil kann nicht umgewandelt werden ({error})
to	bis
vector mask thumbnail — click to edit the vector mask	Vektormaskenminiatur – klicken, um die Vektormaske zu bearbeiten
{format}: the timeline, {frames} frames at {fps} fps over {length} ms; each frame shows the layers at its time	{format}: die Zeitleiste, {frames} Frames mit {fps} fps über {length} ms; jeder Frame zeigt die Ebenen zu seiner Zeit
{label} is not answered by this route	{label} wird von diesem Weg nicht beantwortet
{label} was refused: {reason}	{label} wurde abgelehnt: {reason}
{name} Residual	{name} Rest
{name} Scale {k}	{name} Stufe {k}
{name}: {n} pages	{name}: {n} Seiten
{n} slices from the guides ({cols} x {rows}); they replace the slices there were	{n} Slices aus den Hilfslinien ({cols} x {rows}); sie ersetzen die vorhandenen Slices
{path} is a {space} profile; an RGB document takes an RGB profile	{path} ist ein {space}-Profil; ein RGB-Dokument braucht ein RGB-Profil
{path} is {len} bytes, larger than any colour profile	{path} ist {len} Byte groß, größer als jedes Farbprofil
{reason}; this one is {space}	{reason}; dieses ist {space}
