# Raster Studio interface strings, pt-BR. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Português (Brasil)
The destination must be another folder than the source.	O destino deve ser uma pasta diferente da origem.
The document has no layers	O documento não tem camadas
The document is already in {name}	O documento já está em {name}
The document is already tagged with this profile	O documento já está marcado com este perfil
The document is already tagged {name}	O documento já está marcado com {name}
The document's own profile: {error}	O perfil do próprio documento: {error}
The first {shown} of {n} pages are listed; a longer file opens only those.	As primeiras {shown} de {n} páginas estão listadas; um arquivo mais longo abre só essas.
The image has no opaque pixels to count	A imagem não tem pixels opacos para contar
The ink is laid over the image; the selection, if there is one, is where it prints.	A tinta é aplicada sobre a imagem; a seleção, se houver, é onde ela imprime.
The last stop has no segment after it.	A última parada não tem nenhum segmento depois dela.
The layer has no pixels to cut.	A camada não tem pixels para recortar.
The layer's pixels are locked	Os pixels da camada estão bloqueados
The list is empty	A lista está vazia
The margins and gutters leave no room for a column or a row	As margens e medianizes não deixam espaço para uma coluna ou linha
The margins and gutters leave no room for a column or a row.	As margens e medianizes não deixam espaço para uma coluna ou linha.
The name cannot be empty	O nome não pode ficar vazio
The name has not changed	O nome não mudou
The name is the file File > Export > Slices writes this slice as. The URL and Alt Tag go into the HTML page it writes beside the images.	O nome é o arquivo com que Arquivo > Exportar > Fatias grava esta fatia. A URL e a tag Alt vão para a página HTML gravada ao lado das imagens.
The new canvas is smaller — content outside it will be clipped.	A nova tela é menor — o conteúdo fora dela será cortado.
The next text layer the Type tool creates starts with this style.	A próxima camada de texto criada pela ferramenta Texto começa com este estilo.
The panel is already on this side	O painel já está deste lado
The path encloses no pixel of the canvas	O demarcador não envolve nenhum pixel da tela
The position must be a finite number	A posição deve ser um número finito
The preview runs the real brush engine.	A visualização usa o mecanismo de pincel real.
The resolution must be 1 to 2400 ppi	A resolução deve ser de 1 a 2400 ppi
The resolution must be {min} to {max} dpi	A resolução deve ser de {min} a {max} dpi
The rulers and the size readouts use this unit	As réguas e as leituras de tamanho usam esta unidade
The scale must be between 1% and 1000%	A escala deve estar entre 1% e 1000%
The selection is kept with the document under this name	A seleção é mantida com o documento com este nome
The source and destination must be different folders	A origem e o destino devem ser pastas diferentes
The steps this snapshot named have been discarded	As etapas que este instantâneo nomeava foram descartadas
The table needs a name	A tabela precisa de um nome
The warp has not changed	A distorção não mudou
There are no guides to slice along	Não há guias para fatiar
There are no slices to clear	Não há fatias para limpar
There is no history to clear	Não há histórico para limpar
There is no live selection to combine with	Não há seleção ativa com que combinar
These are matrix-shaper profiles, which carry no perceptual or saturation tables: those two intents convert as Relative Colorimetric.	São perfis de matriz, sem tabelas perceptivas ou de saturação: esses dois tipos de conversão convertem como Colorimétrico relativo.
Thin	Fina
Third-party notices	Avisos de terceiros
This Layer	Esta camada
This adjustment has no panel controls	Este ajuste não tem controles no painel
This adjustment has no settings.	Este ajuste não tem configurações.
This build keeps channels on layers; it has no free-standing alpha channels yet	Esta versão mantém os canais nas camadas; ainda não há canais alfa independentes
This effect is off. Tick it in the list to edit it.	Este efeito está desativado. Marque-o na lista para editá-lo.
This format cannot store CMYK, so the document is written as RGB. Choose JPEG or TIFF for CMYK.	Este formato não armazena CMYK, então o documento é gravado como RGB. Escolha JPEG ou TIFF para CMYK.
This format could not be previewed.	Não foi possível visualizar este formato.
This format has no metadata slot: nothing is embedded	Este formato não tem espaço para metadados: nada é incorporado
This format has no palette, so the indexed colours are written as RGB. Choose PNG or GIF for the palette.	Este formato não tem paleta, então as cores indexadas são gravadas como RGB. Escolha PNG ou GIF para a paleta.
This format stores 8 bits per channel	Este formato armazena 8 bits por canal
This is a Lab document. No format here stores Lab, so it is converted to RGB on export.	Este é um documento Lab. Nenhum formato aqui armazena Lab, então ele é convertido para RGB na exportação.
This layer has no mask	Esta camada não tem máscara
This panel is already at the bottom of its dock	Este painel já está no fim do seu encaixe
This panel is already at the top of its dock	Este painel já está no topo do seu encaixe
This tool has no options	Esta ferramenta não tem opções
This tool is already at its defaults	Esta ferramenta já está nos padrões
This window cannot read screen pixels, so the eyedropper is unavailable	Esta janela não consegue ler pixels da tela, então o conta-gotas não está disponível
This works on a pixel layer; the active layer is a {kind}	Isto funciona em uma camada de pixels; a camada ativa é {kind}
This works on an 8-bit document	Isto funciona em um documento de 8 bits
This works on an RGB document	Isto funciona em um documento RGB
Threshold	Limiar
Threshold…	Limiar…
Thumbnail Size	Tamanho da miniatura
Thumbnail size	Tamanho da miniatura
Thumbnails by Document	Miniaturas por documento
Thumbnails by Layer	Miniaturas por camada
Tiles/List	Blocos/lista
Tiles…	Ladrilhos…
Tilt-Shift…	Tilt-shift…
Timeline	Linha do tempo
Tint	Matiz de cor
Tint hue	Matiz do tingimento
Tint saturation	Saturação do tingimento
To canvas	À tela
Toggle Link	Alternar vínculo
Tonal width	Largura tonal
Tone	Tom
Tone and Detail	Tom e detalhes
Tool Presets	Predefinições de ferramenta
Top	Superior
Top Edges	Bordas superiores
Top Left	Superior esquerdo
Top Left Pixel Color	Cor do pixel superior esquerdo
Top Right	Superior direito
Top left	Superior esquerdo
Top right	Superior direito
Trace Contour…	Traçar contorno…
Traces the active layer's colours into shape layers, one per colour.	Vetoriza as cores da camada ativa em camadas de forma, uma por cor.
Transform	Transformar
Transform Layer	Transformar camada
Transform Selection	Transformar seleção
Transparency	Transparência
Transparent Pixels	Pixels transparentes
Trim	Aparar
Trim Away	Aparar
Trim…	Aparar…
Tritone	Tritônico
Turn on Resample to change the pixel count.	Ative Reamostrar para mudar a quantidade de pixels.
Twirl…	Redemoinho…
Twist	Torcer
Two variables share a name	Duas variáveis têm o mesmo nome
Type	Texto
Type a zoom level	Digite um nível de zoom
Type is edited in Character and Paragraph	O texto é editado em Caractere e Parágrafo
Type tool defaults	Padrões da ferramenta Texto
UI scale	Escala da interface
URL	URL
US Letter	Carta EUA
Ultra Condensed	Ultracondensado
Ultra Expanded	Ultraexpandido
Underlying Layer	Camada subjacente
Undo	Desfazer
Ungroup Layers	Desagrupar camadas
Uniform	Uniforme
Unite Shapes	Unir formas
Units	Unidades
Unmake Frames	Desfazer quadros
Unsaved changes	Alterações não salvas
Unsharp Mask…	Máscara de nitidez…
Update the applied comp from the layers	Atualizar a composição aplicada a partir das camadas
Use Black Point Compensation	Usar compensação de ponto preto
Use global light	Usar luz global
Using:	Usando:
Vanishing Point…	Ponto de fuga…
Variables	Variáveis
Variance	Variância
Vector Mask	Máscara vetorial
Vector density	Densidade vetorial
Vector enabled	Vetor ativado
Vector feather	Difusão vetorial
Vector invert	Inverter vetor
Vector mask	Máscara vetorial
Vectorize	Vetorizar
Vectorize Bitmap	Vetorizar bitmap
Vectorize Bitmap…	Vetorizar bitmap…
Vertical Centers	Centros verticais
Vertical Distortion	Distorção vertical
Vertical center guide	Guia central vertical
Vertical scale, in percent: stretches the glyphs about the baseline; leading is unchanged	Escala vertical, em porcentagem: estica os glifos em torno da linha de base; a entrelinha não muda
Vertically	Verticalmente
Vibrance	Vibratilidade
Vibrance…	Vibratilidade…
View	Visualizar
Violet	Violeta
Visibility	Visibilidade
Visible adjustment layers	Camadas de ajuste visíveis
Vivid Light	Luz brilhante
W	L
WEBP…	WEBP…
Waiting for the composite…	Aguardando a composição…
Warm	Quente
Warp	Distorcer
Warp Style	Estilo de distorção
Warp Text	Distorcer texto
Warp Text…	Distorcer texto…
Wave	Onda
Wavelet Decompose	Decomposição wavelet
Wavelet Decompose splits into 2 to 7 scales	A decomposição wavelet divide em 2 a 7 escalas
Wavelet Decompose works on an sRGB document	A decomposição wavelet funciona em um documento sRGB
Wavelet Decompose: the layer has no pixels	Decomposição wavelet: a camada não tem pixels
Wavelet Decompose: {n} detail layers over a residual; the source layer is hidden	Decomposição wavelet: {n} camadas de detalhe sobre um resíduo; a camada de origem está oculta
Wavelet Decompose…	Decomposição wavelet…
Wave…	Ondas…
Web (216)	Web (216)
WebP (lossless)	WebP (sem perdas)
WebP (lossy)	WebP (com perdas)
Weight	Espessura
White	Branco
White to Black	Branco para preto
Whites	Brancos
Width	Largura
Width and height must be at least 1 pixel	A largura e a altura devem ter pelo menos 1 pixel
Width must be between 1 and 250 pixels	A largura deve estar entre 1 e 250 pixels
Width to 110%	Largura para 110%
Width to 125%	Largura para 125%
Width to 80%	Largura para 80%
Width to 90%	Largura para 90%
Window	Janela
Wind…	Vento…
With Handles	Com alças
Work Path	Demarcador de trabalho
Workspace	Espaço de trabalho
Wrap to box	Quebrar na caixa
Writes the visible adjustment layers, applied to an identity lattice, as a 3D LUT (.cube).	Grava as camadas de ajuste visíveis, aplicadas a uma grade de identidade, como LUT 3D (.cube).
Written as CMYK: a naive ink model, not an ICC press profile.	Gravado como CMYK: um modelo de tinta simples, não um perfil de impressão ICC.
Written as XMP into PNG, JPEG and TIFF files by Export As.	Gravado como XMP em arquivos PNG, JPEG e TIFF por Exportar como.
Written with the document's palette.	Gravado com a paleta do documento.
Yellow	Amarelo
Yellow / Blue	Amarelo / Azul
Yellows	Amarelos
ZigZag…	Ziguezague…
Zoom In	Aumentar zoom
Zoom Out	Diminuir zoom
Zoom in	Aumentar zoom
Zoom out	Diminuir zoom
Zoom to Selection	Zoom na seleção
a layer could not be rewritten	uma camada não pôde ser regravada
before / after	antes / depois
changed	alterado
content thumbnail — click to edit the layer's pixels	miniatura do conteúdo — clique para editar os pixels da camada
dpi	dpi
edits are aimed at this mask — right-click for view and mask options	as edições vão para esta máscara — clique com o botão direito para opções de visualização e máscara
lines past the box	linhas além da caixa
mask off	máscara desativada
mask thumbnail — click to edit the layer's mask	miniatura da máscara — clique para editar a máscara da camada
minutes (0 is off)	minutos (0 é desativado)
no drop	não é possível soltar
px	px
records here	grava aqui
skipped on play:	ignorado ao reproduzir:
the layers could not be added	as camadas não puderam ser adicionadas
the profile cannot be transformed ({error})	o perfil não pode ser transformado ({error})
to	até
vector mask thumbnail — click to edit the vector mask	miniatura da máscara vetorial — clique para editar a máscara vetorial
{format}: the timeline, {frames} frames at {fps} fps over {length} ms; each frame shows the layers at its time	{format}: a linha do tempo, {frames} quadros a {fps} qps ao longo de {length} ms; cada quadro mostra as camadas no seu tempo
{label} is not answered by this route	{label} não é atendido por esta rota
{label} was refused: {reason}	{label} foi recusado: {reason}
{name} Residual	{name} Resíduo
{name} Scale {k}	{name} Escala {k}
{name}: {n} pages	{name}: {n} páginas
{n} slices from the guides ({cols} x {rows}); they replace the slices there were	{n} fatias a partir das guias ({cols} x {rows}); elas substituem as fatias existentes
{path} is a {space} profile; an RGB document takes an RGB profile	{path} é um perfil {space}; um documento RGB usa um perfil RGB
{path} is {len} bytes, larger than any colour profile	{path} tem {len} bytes, mais que qualquer perfil de cor
{reason}; this one is {space}	{reason}; este é {space}
