# Raster Studio interface strings, es. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Español
The destination must be another folder than the source.	El destino debe ser una carpeta distinta del origen.
The document has no layers	El documento no tiene capas
The document is already in {name}	El documento ya está en {name}
The document is already tagged with this profile	El documento ya tiene asignado este perfil
The document is already tagged {name}	El documento ya tiene asignado {name}
The document's own profile: {error}	El perfil propio del documento: {error}
The first {shown} of {n} pages are listed; a longer file opens only those.	Se enumeran las primeras {shown} de {n} páginas; un archivo más largo abre solo esas.
The image has no opaque pixels to count	La imagen no tiene píxeles opacos que contar
The ink is laid over the image; the selection, if there is one, is where it prints.	La tinta se pone sobre la imagen; la selección, si la hay, es donde se imprime.
The last stop has no segment after it.	La última parada no tiene ningún segmento después.
The layer has no pixels to cut.	La capa no tiene píxeles que cortar.
The layer's pixels are locked	Los píxeles de la capa están bloqueados
The list is empty	La lista está vacía
The margins and gutters leave no room for a column or a row	Los márgenes y medianiles no dejan espacio para una columna o una fila
The margins and gutters leave no room for a column or a row.	Los márgenes y medianiles no dejan espacio para una columna o una fila.
The name cannot be empty	El nombre no puede estar vacío
The name has not changed	El nombre no ha cambiado
The name is the file File > Export > Slices writes this slice as. The URL and Alt Tag go into the HTML page it writes beside the images.	El nombre es el del archivo con el que Archivo > Exportar > Sectores escribe este sector. La URL y la etiqueta Alt van en la página HTML que escribe junto a las imágenes.
The new canvas is smaller — content outside it will be clipped.	El nuevo lienzo es más pequeño: el contenido fuera de él se recortará.
The next text layer the Type tool creates starts with this style.	La siguiente capa de texto que cree la herramienta Texto empieza con este estilo.
The panel is already on this side	El panel ya está en este lado
The path encloses no pixel of the canvas	El trazado no encierra ningún píxel del lienzo
The position must be a finite number	La posición debe ser un número finito
The preview runs the real brush engine.	La vista previa usa el motor de pinceles real.
The resolution must be 1 to 2400 ppi	La resolución debe ser de 1 a 2400 ppp
The resolution must be {min} to {max} dpi	La resolución debe ser de {min} a {max} ppp
The rulers and the size readouts use this unit	Las reglas y las lecturas de tamaño usan esta unidad
The scale must be between 1% and 1000%	La escala debe estar entre el 1% y el 1000%
The selection is kept with the document under this name	La selección se guarda con el documento con este nombre
The source and destination must be different folders	El origen y el destino deben ser carpetas distintas
The steps this snapshot named have been discarded	Los pasos que nombraba esta instantánea se han descartado
The table needs a name	La tabla necesita un nombre
The warp has not changed	La deformación no ha cambiado
There are no guides to slice along	No hay guías por las que dividir en sectores
There are no slices to clear	No hay sectores que borrar
There is no history to clear	No hay historia que borrar
There is no live selection to combine with	No hay ninguna selección activa con la que combinar
These are matrix-shaper profiles, which carry no perceptual or saturation tables: those two intents convert as Relative Colorimetric.	Son perfiles de matriz, sin tablas perceptuales ni de saturación: esas dos interpretaciones se convierten como Colorimétrico relativo.
Thin	Delgada
Third-party notices	Avisos de terceros
This Layer	Esta capa
This adjustment has no panel controls	Este ajuste no tiene controles de panel
This adjustment has no settings.	Este ajuste no tiene parámetros.
This build keeps channels on layers; it has no free-standing alpha channels yet	Esta compilación guarda los canales en las capas; aún no tiene canales alfa independientes
This effect is off. Tick it in the list to edit it.	Este efecto está desactivado. Márquelo en la lista para editarlo.
This format cannot store CMYK, so the document is written as RGB. Choose JPEG or TIFF for CMYK.	Este formato no puede guardar CMYK, así que el documento se escribe como RGB. Elija JPEG o TIFF para CMYK.
This format could not be previewed.	No se pudo previsualizar este formato.
This format has no metadata slot: nothing is embedded	Este formato no tiene espacio para metadatos: no se incrusta nada
This format has no palette, so the indexed colours are written as RGB. Choose PNG or GIF for the palette.	Este formato no tiene paleta, así que los colores indexados se escriben como RGB. Elija PNG o GIF para la paleta.
This format stores 8 bits per channel	Este formato guarda 8 bits por canal
This is a Lab document. No format here stores Lab, so it is converted to RGB on export.	Es un documento Lab. Ningún formato de aquí guarda Lab, así que se convierte a RGB al exportar.
This layer has no mask	Esta capa no tiene máscara
This panel is already at the bottom of its dock	Este panel ya está al final de su panel acoplado
This panel is already at the top of its dock	Este panel ya está al principio de su panel acoplado
This tool has no options	Esta herramienta no tiene opciones
This tool is already at its defaults	Esta herramienta ya tiene sus valores predeterminados
This window cannot read screen pixels, so the eyedropper is unavailable	Esta ventana no puede leer píxeles de la pantalla, así que el cuentagotas no está disponible
This works on a pixel layer; the active layer is a {kind}	Esto funciona en una capa de píxeles; la capa activa es {kind}
This works on an 8-bit document	Esto funciona en un documento de 8 bits
This works on an RGB document	Esto funciona en un documento RGB
Threshold	Umbral
Threshold…	Umbral…
Thumbnail Size	Tamaño de miniatura
Thumbnail size	Tamaño de miniatura
Thumbnails by Document	Miniaturas por documento
Thumbnails by Layer	Miniaturas por capa
Tiles/List	Mosaicos/lista
Tiles…	Azulejos…
Tilt-Shift…	Cambio de inclinación…
Timeline	Línea de tiempo
Tint	Matiz
Tint hue	Tono del matiz
Tint saturation	Saturación del matiz
To canvas	Al lienzo
Toggle Link	Alternar vínculo
Tonal width	Anchura tonal
Tone	Tono
Tone and Detail	Tono y detalle
Tool Presets	Ajustes preestablecidos de herramienta
Top	Arriba
Top Edges	Bordes superiores
Top Left	Arriba a la izquierda
Top Left Pixel Color	Color de píxel superior izquierdo
Top Right	Arriba a la derecha
Top left	Arriba a la izquierda
Top right	Arriba a la derecha
Trace Contour…	Trazar contorno…
Traces the active layer's colours into shape layers, one per colour.	Calca los colores de la capa activa en capas de forma, una por color.
Transform	Transformar
Transform Layer	Transformar capa
Transform Selection	Transformar selección
Transparency	Transparencia
Transparent Pixels	Píxeles transparentes
Trim	Cortar
Trim Away	Recortar
Trim…	Cortar…
Tritone	Tritono
Turn on Resample to change the pixel count.	Active Remuestrear para cambiar el número de píxeles.
Twirl…	Molinete…
Twist	Torcer
Two variables share a name	Dos variables comparten nombre
Type	Texto
Type a zoom level	Escriba un nivel de zoom
Type is edited in Character and Paragraph	El texto se edita en Carácter y Párrafo
Type tool defaults	Valores predeterminados de la herramienta Texto
UI scale	Escala de la interfaz
URL	URL
US Letter	Carta EE. UU.
Ultra Condensed	Ultracondensado
Ultra Expanded	Ultraexpandido
Underlying Layer	Capa subyacente
Undo	Deshacer
Ungroup Layers	Desagrupar capas
Uniform	Uniforme
Unite Shapes	Unir formas
Units	Unidades
Unmake Frames	Deshacer fotogramas
Unsaved changes	Cambios sin guardar
Unsharp Mask…	Máscara de enfoque…
Update the applied comp from the layers	Actualizar la composición aplicada a partir de las capas
Use Black Point Compensation	Usar compensación de punto negro
Use global light	Usar luz global
Using:	Usando:
Vanishing Point…	Punto de fuga…
Variables	Variables
Variance	Varianza
Vector Mask	Máscara vectorial
Vector density	Densidad vectorial
Vector enabled	Vector activado
Vector feather	Calado vectorial
Vector invert	Invertir vector
Vector mask	Máscara vectorial
Vectorize	Vectorizar
Vectorize Bitmap	Vectorizar mapa de bits
Vectorize Bitmap…	Vectorizar mapa de bits…
Vertical Centers	Centros verticales
Vertical Distortion	Distorsión vertical
Vertical center guide	Guía central vertical
Vertical scale, in percent: stretches the glyphs about the baseline; leading is unchanged	Escala vertical, en porcentaje: estira los glifos sobre la línea base; el interlineado no cambia
Vertically	Verticalmente
Vibrance	Intensidad
Vibrance…	Intensidad…
View	Vista
Violet	Violeta
Visibility	Visibilidad
Visible adjustment layers	Capas de ajuste visibles
Vivid Light	Luz intensa
W	An
WEBP…	WEBP…
Waiting for the composite…	Esperando el compuesto…
Warm	Cálido
Warp	Deformar
Warp Style	Estilo de deformación
Warp Text	Deformar texto
Warp Text…	Deformar texto…
Wave	Onda
Wavelet Decompose	Descomposición wavelet
Wavelet Decompose splits into 2 to 7 scales	La descomposición wavelet divide en 2 a 7 escalas
Wavelet Decompose works on an sRGB document	La descomposición wavelet funciona en un documento sRGB
Wavelet Decompose: the layer has no pixels	Descomposición wavelet: la capa no tiene píxeles
Wavelet Decompose: {n} detail layers over a residual; the source layer is hidden	Descomposición wavelet: {n} capas de detalle sobre un residuo; la capa de origen está oculta
Wavelet Decompose…	Descomposición wavelet…
Wave…	Onda…
Web (216)	Web (216)
WebP (lossless)	WebP (sin pérdida)
WebP (lossy)	WebP (con pérdida)
Weight	Grosor
White	Blanco
White to Black	Blanco a negro
Whites	Blancos
Width	Anchura
Width and height must be at least 1 pixel	La anchura y la altura deben ser de al menos 1 píxel
Width must be between 1 and 250 pixels	La anchura debe estar entre 1 y 250 píxeles
Width to 110%	Anchura al 110%
Width to 125%	Anchura al 125%
Width to 80%	Anchura al 80%
Width to 90%	Anchura al 90%
Window	Ventana
Wind…	Viento…
With Handles	Con manejadores
Work Path	Trazado de trabajo
Workspace	Espacio de trabajo
Wrap to box	Ajustar al cuadro
Writes the visible adjustment layers, applied to an identity lattice, as a 3D LUT (.cube).	Escribe las capas de ajuste visibles, aplicadas a una retícula identidad, como LUT 3D (.cube).
Written as CMYK: a naive ink model, not an ICC press profile.	Escrito como CMYK: un modelo de tinta sencillo, no un perfil de imprenta ICC.
Written as XMP into PNG, JPEG and TIFF files by Export As.	Exportar como lo escribe como XMP en archivos PNG, JPEG y TIFF.
Written with the document's palette.	Escrito con la paleta del documento.
Yellow	Amarillo
Yellow / Blue	Amarillo / Azul
Yellows	Amarillos
ZigZag…	Zigzag…
Zoom In	Acercar
Zoom Out	Alejar
Zoom in	Acercar
Zoom out	Alejar
Zoom to Selection	Zoom a la selección
a layer could not be rewritten	no se pudo reescribir una capa
before / after	antes / después
changed	cambiado
content thumbnail — click to edit the layer's pixels	miniatura del contenido: haga clic para editar los píxeles de la capa
dpi	ppp
edits are aimed at this mask — right-click for view and mask options	las ediciones van a esta máscara: clic derecho para opciones de vista y máscara
lines past the box	líneas fuera del cuadro
mask off	máscara desactivada
mask thumbnail — click to edit the layer's mask	miniatura de la máscara: haga clic para editar la máscara de la capa
minutes (0 is off)	minutos (0 es desactivado)
no drop	no se puede soltar
px	px
records here	graba aquí
skipped on play:	se omite al reproducir:
the layers could not be added	no se pudieron añadir las capas
the profile cannot be transformed ({error})	no se puede transformar el perfil ({error})
to	a
vector mask thumbnail — click to edit the vector mask	miniatura de la máscara vectorial: haga clic para editarla
{format}: the timeline, {frames} frames at {fps} fps over {length} ms; each frame shows the layers at its time	{format}: la línea de tiempo, {frames} fotogramas a {fps} fps durante {length} ms; cada fotograma muestra las capas en su momento
{label} is not answered by this route	Esta ruta no responde a {label}
{label} was refused: {reason}	Se rechazó {label}: {reason}
{name} Residual	{name} Residuo
{name} Scale {k}	{name} Escala {k}
{name}: {n} pages	{name}: {n} páginas
{n} slices from the guides ({cols} x {rows}); they replace the slices there were	{n} sectores a partir de las guías ({cols} x {rows}); reemplazan a los sectores que había
{path} is a {space} profile; an RGB document takes an RGB profile	{path} es un perfil {space}; un documento RGB necesita un perfil RGB
{path} is {len} bytes, larger than any colour profile	{path} ocupa {len} bytes, más que cualquier perfil de color
{reason}; this one is {space}	{reason}; este es {space}
