# Raster Studio interface strings, it. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Italiano
The active smart object shows each image of the source folder in turn; each result is exported as a PNG to the destination folder.	L'oggetto avanzato attivo mostra a turno ogni immagine della cartella di origine; ogni risultato viene esportato come PNG nella cartella di destinazione.
The amount must be within	Il valore deve essere compreso tra
The angle must be a finite number of degrees	L'angolo deve essere un numero finito di gradi
The balanced default for photographs.	L'impostazione predefinita bilanciata per le foto.
The canvas grows to fit the rotated image.	La tela si ingrandisce per contenere l'immagine ruotata.
The canvas must be at least 1 x 1 pixel	La tela deve essere almeno di 1 x 1 pixel
The cell size must be 2 to 200 pixels	La dimensione della cella deve essere da 2 a 200 pixel
The cut is empty: paint more of the part to keep.	Il ritaglio è vuoto: dipingi di più la parte da tenere.
The destination is the profile the document already has	La destinazione è il profilo che il documento ha già
The destination must be another folder than the source.	La destinazione deve essere una cartella diversa dall'origine.
The document has no layers	Il documento non ha livelli
The document is already in {name}	Il documento è già in {name}
The document is already tagged with this profile	Il documento ha già questo profilo
The document is already tagged {name}	Il documento ha già il profilo {name}
The document's own profile: {error}	Il profilo proprio del documento: {error}
The first {shown} of {n} pages are listed; a longer file opens only those.	Sono elencate le prime {shown} di {n} pagine; un file più lungo apre solo quelle.
The image has no opaque pixels to count	L'immagine non ha pixel opachi da contare
The ink is laid over the image; the selection, if there is one, is where it prints.	L'inchiostro si stende sull'immagine; la selezione, se c'è, è dove viene stampato.
The last stop has no segment after it.	L'ultimo punto non ha alcun segmento dopo.
The layer has no pixels to cut.	Il livello non ha pixel da ritagliare.
The layer's pixels are locked	I pixel del livello sono bloccati
The list is empty	L'elenco è vuoto
The margins and gutters leave no room for a column or a row	Margini e canaline non lasciano spazio per una colonna o una riga
The margins and gutters leave no room for a column or a row.	Margini e canaline non lasciano spazio per una colonna o una riga.
The name cannot be empty	Il nome non può essere vuoto
The name has not changed	Il nome non è cambiato
The name is the file File > Export > Slices writes this slice as. The URL and Alt Tag go into the HTML page it writes beside the images.	Il nome è il file con cui File > Esporta > Sezioni scrive questa sezione. URL e tag Alt vanno nella pagina HTML scritta accanto alle immagini.
The new canvas is smaller — content outside it will be clipped.	La nuova tela è più piccola: il contenuto al di fuori verrà ritagliato.
The next text layer the Type tool creates starts with this style.	Il prossimo livello di testo creato dallo strumento Testo inizia con questo stile.
The panel is already on this side	Il pannello è già su questo lato
The path encloses no pixel of the canvas	Il tracciato non racchiude alcun pixel della tela
The position must be a finite number	La posizione deve essere un numero finito
The preview runs the real brush engine.	L'anteprima usa il vero motore dei pennelli.
The resolution must be 1 to 2400 ppi	La risoluzione deve essere da 1 a 2400 ppi
The resolution must be {min} to {max} dpi	La risoluzione deve essere da {min} a {max} dpi
The rulers and the size readouts use this unit	I righelli e le letture delle dimensioni usano questa unità
The scale must be between 1% and 1000%	La scala deve essere tra 1% e 1000%
The selection is kept with the document under this name	La selezione viene conservata con il documento con questo nome
The source and destination must be different folders	Origine e destinazione devono essere cartelle diverse
The steps this snapshot named have been discarded	I passaggi indicati da questa istantanea sono stati eliminati
The table needs a name	La tabella richiede un nome
The warp has not changed	L'alterazione non è cambiata
There are no guides to slice along	Non ci sono guide lungo cui sezionare
There are no slices to clear	Non ci sono sezioni da cancellare
There is no history to clear	Non c'è storia da cancellare
There is no live selection to combine with	Non c'è una selezione attiva con cui combinare
These are matrix-shaper profiles, which carry no perceptual or saturation tables: those two intents convert as Relative Colorimetric.	Sono profili a matrice, senza tabelle percettive o di saturazione: questi due intenti vengono convertiti come Colorimetrico relativo.
Thin	Sottile
Third-party notices	Avvisi di terze parti
This Layer	Questo livello
This adjustment has no panel controls	Questa regolazione non ha controlli nel pannello
This adjustment has no settings.	Questa regolazione non ha impostazioni.
This build keeps channels on layers; it has no free-standing alpha channels yet	Questa build tiene i canali sui livelli; non ha ancora canali alfa indipendenti
This effect is off. Tick it in the list to edit it.	Questo effetto è disattivato. Selezionalo nell'elenco per modificarlo.
This format cannot store CMYK, so the document is written as RGB. Choose JPEG or TIFF for CMYK.	Questo formato non può memorizzare CMYK, quindi il documento viene scritto come RGB. Scegli JPEG o TIFF per CMYK.
This format could not be previewed.	Non è stato possibile visualizzare in anteprima questo formato.
This format has no metadata slot: nothing is embedded	Questo formato non ha spazio per i metadati: non viene incorporato nulla
This format has no palette, so the indexed colours are written as RGB. Choose PNG or GIF for the palette.	Questo formato non ha palette, quindi i colori indicizzati vengono scritti come RGB. Scegli PNG o GIF per la palette.
This format stores 8 bits per channel	Questo formato memorizza 8 bit per canale
This is a Lab document. No format here stores Lab, so it is converted to RGB on export.	Questo è un documento Lab. Nessun formato qui memorizza Lab, quindi viene convertito in RGB all'esportazione.
This layer has no mask	Questo livello non ha maschera
This panel is already at the bottom of its dock	Questo pannello è già in fondo al suo dock
This panel is already at the top of its dock	Questo pannello è già in cima al suo dock
This tool has no options	Questo strumento non ha opzioni
This tool is already at its defaults	Questo strumento ha già i valori predefiniti
This window cannot read screen pixels, so the eyedropper is unavailable	Questa finestra non può leggere i pixel dello schermo, quindi il contagocce non è disponibile
This works on a pixel layer; the active layer is a {kind}	Funziona su un livello di pixel; il livello attivo è {kind}
This works on an 8-bit document	Funziona su un documento a 8 bit
This works on an RGB document	Funziona su un documento RGB
Threshold	Soglia
Threshold…	Soglia…
Thumbnail Size	Dimensione miniature
Thumbnail size	Dimensione miniature
Thumbnails by Document	Miniature per documento
Thumbnails by Layer	Miniature per livello
Tiles/List	Riquadri/elenco
Tiles…	Tessere…
Tilt-Shift…	Tilt-shift…
Timeline	Timeline
Tint	Tinta
Tint hue	Tonalità tinta
Tint saturation	Saturazione tinta
To canvas	Alla tela
Toggle Link	Attiva/disattiva collegamento
Tonal width	Ampiezza tonale
Tone	Tono
Tone and Detail	Tono e dettagli
Tool Presets	Strumenti predefiniti
Top	In alto
Top Edges	Bordi superiori
Top Left	In alto a sinistra
Top Left Pixel Color	Colore pixel in alto a sinistra
Top Right	In alto a destra
Top left	In alto a sinistra
Top right	In alto a destra
Trace Contour…	Traccia contorno…
Traces the active layer's colours into shape layers, one per colour.	Ricalca i colori del livello attivo in livelli forma, uno per colore.
Transform	Trasforma
Transform Layer	Trasforma livello
Transform Selection	Trasforma selezione
Transparency	Trasparenza
Transparent Pixels	Pixel trasparenti
Trim	Rifila
Trim Away	Rimuovi
Trim…	Rifila…
Tritone	Tricromia
Turn on Resample to change the pixel count.	Attiva Ricampiona per cambiare il numero di pixel.
Twirl…	Mulinello…
Twist	Torsione
Two variables share a name	Due variabili hanno lo stesso nome
Type	Testo
Type a zoom level	Digita un livello di zoom
Type is edited in Character and Paragraph	Il testo si modifica in Carattere e Paragrafo
Type tool defaults	Valori predefiniti dello strumento Testo
UI scale	Scala interfaccia
URL	URL
US Letter	Lettera US
Ultra Condensed	Ultra stretto
Ultra Expanded	Ultra espanso
Underlying Layer	Livello sottostante
Undo	Annulla
Ungroup Layers	Separa livelli
Uniform	Uniforme
Unite Shapes	Unisci forme
Units	Unità
Unmake Frames	Annulla fotogrammi
Unsaved changes	Modifiche non salvate
Unsharp Mask…	Maschera di contrasto…
Update the applied comp from the layers	Aggiorna la composizione applicata dai livelli
Use Black Point Compensation	Usa compensazione punto nero
Use global light	Usa luce globale
Using:	In uso:
Vanishing Point…	Punto di fuga…
Variables	Variabili
Variance	Varianza
Vector Mask	Maschera vettoriale
Vector density	Densità vettoriale
Vector enabled	Vettore attivato
Vector feather	Sfumatura vettoriale
Vector invert	Inverti vettore
Vector mask	Maschera vettoriale
Vectorize	Vettorializza
Vectorize Bitmap	Vettorializza bitmap
Vectorize Bitmap…	Vettorializza bitmap…
Vertical Centers	Centri verticali
Vertical Distortion	Distorsione verticale
Vertical center guide	Guida centrale verticale
Vertical scale, in percent: stretches the glyphs about the baseline; leading is unchanged	Scala verticale, in percentuale: allunga i glifi attorno alla linea di base; l'interlinea non cambia
Vertically	Verticalmente
Vibrance	Vividezza
Vibrance…	Vividezza…
View	Visualizza
Violet	Viola
Visibility	Visibilità
Visible adjustment layers	Livelli di regolazione visibili
Vivid Light	Luce vivida
W	L
WEBP…	WEBP…
Waiting for the composite…	In attesa del composito…
Warm	Caldo
Warp	Altera
Warp Style	Stile alterazione
Warp Text	Altera testo
Warp Text…	Altera testo…
Wave	Onda
Wavelet Decompose	Scomposizione wavelet
Wavelet Decompose splits into 2 to 7 scales	La scomposizione wavelet divide in 2-7 scale
Wavelet Decompose works on an sRGB document	La scomposizione wavelet funziona su un documento sRGB
Wavelet Decompose: the layer has no pixels	Scomposizione wavelet: il livello non ha pixel
Wavelet Decompose: {n} detail layers over a residual; the source layer is hidden	Scomposizione wavelet: {n} livelli di dettaglio su un residuo; il livello di origine è nascosto
Wavelet Decompose…	Scomposizione wavelet…
Wave…	Onda…
Web (216)	Web (216)
WebP (lossless)	WebP (senza perdita)
WebP (lossy)	WebP (con perdita)
Weight	Peso
White	Bianco
White to Black	Da bianco a nero
Whites	Bianchi
Width	Larghezza
Width and height must be at least 1 pixel	Larghezza e altezza devono essere almeno di 1 pixel
Width must be between 1 and 250 pixels	La larghezza deve essere tra 1 e 250 pixel
Width to 110%	Larghezza al 110%
Width to 125%	Larghezza al 125%
Width to 80%	Larghezza all'80%
Width to 90%	Larghezza al 90%
Window	Finestra
Wind…	Vento…
With Handles	Con maniglie
Work Path	Tracciato di lavoro
Workspace	Area di lavoro
Wrap to box	Adatta al riquadro
Writes the visible adjustment layers, applied to an identity lattice, as a 3D LUT (.cube).	Scrive i livelli di regolazione visibili, applicati a un reticolo identità, come LUT 3D (.cube).
Written as CMYK: a naive ink model, not an ICC press profile.	Scritto come CMYK: un modello di inchiostro semplice, non un profilo di stampa ICC.
Written as XMP into PNG, JPEG and TIFF files by Export As.	Scritto come XMP nei file PNG, JPEG e TIFF da Esporta come.
Written with the document's palette.	Scritto con la palette del documento.
Yellow	Giallo
Yellow / Blue	Giallo / Blu
Yellows	Gialli
ZigZag…	Zig zag…
Zoom In	Zoom avanti
Zoom Out	Zoom indietro
Zoom in	Zoom avanti
Zoom out	Zoom indietro
Zoom to Selection	Zoom sulla selezione
a layer could not be rewritten	non è stato possibile riscrivere un livello
before / after	prima / dopo
changed	modificato
content thumbnail — click to edit the layer's pixels	miniatura contenuto: fai clic per modificare i pixel del livello
dpi	dpi
edits are aimed at this mask — right-click for view and mask options	le modifiche vanno su questa maschera: clic destro per opzioni di vista e maschera
lines past the box	righe oltre il riquadro
mask off	maschera disattivata
mask thumbnail — click to edit the layer's mask	miniatura maschera: fai clic per modificare la maschera del livello
minutes (0 is off)	minuti (0 = disattivato)
no drop	non rilasciabile
px	px
records here	registra qui
skipped on play:	saltato in riproduzione:
the layers could not be added	non è stato possibile aggiungere i livelli
the profile cannot be transformed ({error})	il profilo non può essere trasformato ({error})
to	a
vector mask thumbnail — click to edit the vector mask	miniatura maschera vettoriale: fai clic per modificare la maschera vettoriale
{format}: the timeline, {frames} frames at {fps} fps over {length} ms; each frame shows the layers at its time	{format}: la timeline, {frames} fotogrammi a {fps} fps in {length} ms; ogni fotogramma mostra i livelli al suo istante
{label} is not answered by this route	{label} non riceve risposta da questo percorso
{label} was refused: {reason}	{label} è stato rifiutato: {reason}
{name} Residual	{name} Residuo
{name} Scale {k}	{name} Scala {k}
{name}: {n} pages	{name}: {n} pagine
{n} slices from the guides ({cols} x {rows}); they replace the slices there were	{n} sezioni dalle guide ({cols} x {rows}); sostituiscono le sezioni presenti
{path} is a {space} profile; an RGB document takes an RGB profile	{path} è un profilo {space}; un documento RGB richiede un profilo RGB
{path} is {len} bytes, larger than any colour profile	{path} è di {len} byte, più grande di qualsiasi profilo colore
{reason}; this one is {space}	{reason}; questo è {space}
