# Raster Studio interface strings, uk. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Українська
The cut is empty: paint more of the part to keep.	Виріз порожній: зафарбуйте більше тієї частини, яку треба залишити.
The destination is the profile the document already has	Цільовий профіль збігається з профілем документа
The destination must be another folder than the source.	Тека призначення має відрізнятися від вихідної.
The document has no layers	У документі немає шарів
The document is already in {name}	Документ уже в {name}
The document is already tagged with this profile	Документу вже призначено цей профіль
The document is already tagged {name}	Документу вже призначено {name}
The document's own profile: {error}	Власний профіль документа: {error}
The first {shown} of {n} pages are listed; a longer file opens only those.	Показано перші {shown} з {n} сторінок; довший файл відкриває лише їх.
The image has no opaque pixels to count	У зображенні немає непрозорих пікселів для підрахунку
The ink is laid over the image; the selection, if there is one, is where it prints.	Фарба накладається на зображення; якщо є виділення, вона друкується в ньому.
The last stop has no segment after it.	Після останньої контрольної точки немає сегмента.
The layer has no pixels to cut.	У шарі немає пікселів для вирізання.
The layer's pixels are locked	Пікселі шару закріплено
The list is empty	Список порожній
The margins and gutters leave no room for a column or a row	Поля й проміжки не залишають місця для стовпця чи рядка
The margins and gutters leave no room for a column or a row.	Поля й проміжки не залишають місця для стовпця чи рядка.
The name cannot be empty	Назва не може бути порожньою
The name has not changed	Назва не змінилася
The name is the file File > Export > Slices writes this slice as. The URL and Alt Tag go into the HTML page it writes beside the images.	Назва — це файл, під яким «Файл > Експорт > Фрагменти» записує цей фрагмент. URL і тег Alt потрапляють у HTML-сторінку, записану поруч із зображеннями.
The new canvas is smaller — content outside it will be clipped.	Нове полотно менше — вміст поза його межами буде обрізано.
The next text layer the Type tool creates starts with this style.	Наступний текстовий шар, створений інструментом «Текст», почнеться з цим стилем.
The panel is already on this side	Панель уже на цьому боці
The path encloses no pixel of the canvas	Контур не охоплює жодного пікселя полотна
The position must be a finite number	Положення має бути скінченним числом
The preview runs the real brush engine.	Попередній перегляд використовує справжній рушій пензлів.
The resolution must be 1 to 2400 ppi	Роздільність має бути від 1 до 2400 ppi
The resolution must be {min} to {max} dpi	Роздільність має бути від {min} до {max} dpi
The rulers and the size readouts use this unit	Лінійки й показники розміру використовують цю одиницю
The scale must be between 1% and 1000%	Масштаб має бути від 1% до 1000%
The selection is kept with the document under this name	Виділення зберігається з документом під цією назвою
The source and destination must be different folders	Вихідна тека й тека призначення мають відрізнятися
The steps this snapshot named have been discarded	Кроки, на які вказував цей знімок, видалено
The table needs a name	Таблиці потрібна назва
The warp has not changed	Деформація не змінилася
There are no guides to slice along	Немає напрямних, за якими можна розрізати
There are no slices to clear	Немає фрагментів для видалення
There is no history to clear	Немає історії для очищення
There is no live selection to combine with	Немає активного виділення для об'єднання
These are matrix-shaper profiles, which carry no perceptual or saturation tables: those two intents convert as Relative Colorimetric.	Це матричні профілі без перцептивних таблиць і таблиць насиченості: ці два методи перетворюються як відносний колориметричний.
Thin	Тонкий
Third-party notices	Повідомлення третіх сторін
This Layer	Цей шар
This adjustment has no panel controls	Ця корекція не має елементів керування на панелі
This adjustment has no settings.	Ця корекція не має параметрів.
This build keeps channels on layers; it has no free-standing alpha channels yet	Ця збірка зберігає канали в шарах; окремих альфа-каналів поки немає
This effect is off. Tick it in the list to edit it.	Цей ефект вимкнено. Позначте його в списку, щоб змінити.
This format cannot store CMYK, so the document is written as RGB. Choose JPEG or TIFF for CMYK.	Цей формат не зберігає CMYK, тому документ записується в RGB. Для CMYK виберіть JPEG або TIFF.
This format could not be previewed.	Не вдалося показати попередній перегляд цього формату.
This format has no metadata slot: nothing is embedded	У цьому форматі немає місця для метаданих: нічого не вбудовується
This format has no palette, so the indexed colours are written as RGB. Choose PNG or GIF for the palette.	У цьому форматі немає палітри, тому індексовані кольори записуються в RGB. Для палітри виберіть PNG або GIF.
This format stores 8 bits per channel	Цей формат зберігає 8 біт на канал
This is a Lab document. No format here stores Lab, so it is converted to RGB on export.	Це документ Lab. Жоден формат тут не зберігає Lab, тому під час експорту його перетворено на RGB.
This layer has no mask	Цей шар не має маски
This panel is already at the bottom of its dock	Ця панель уже в самому низу свого доку
This panel is already at the top of its dock	Ця панель уже в самому верху свого доку
This tool has no options	Цей інструмент не має параметрів
This tool is already at its defaults	Цей інструмент уже має типові значення
This window cannot read screen pixels, so the eyedropper is unavailable	Це вікно не може читати пікселі екрана, тому піпетка недоступна
This works on a pixel layer; the active layer is a {kind}	Це працює на піксельному шарі; активний шар — {kind}
This works on an 8-bit document	Це працює з 8-бітним документом
This works on an RGB document	Це працює з документом RGB
Threshold	Поріг
Threshold…	Поріг…
Thumbnail Size	Розмір мініатюр
Thumbnail size	Розмір мініатюри
Thumbnails by Document	Мініатюри за документом
Thumbnails by Layer	Мініатюри за шаром
Tiles/List	Плитки/Список
Tiles…	Розбиття на плитки…
Tilt-Shift…	Нахил-зсув…
Timeline	Шкала часу
Tint	Відтінок
Tint hue	Тон відтінку
Tint saturation	Насиченість відтінку
To canvas	До полотна
Toggle Link	Перемкнути зв'язок
Tonal width	Тонова ширина
Tone	Тон
Tone and Detail	Тон і деталізація
Tool Presets	Набори параметрів інструментів
Top	Верх
Top Edges	Верхні краї
Top Left	Зверху ліворуч
Top Left Pixel Color	Колір верхнього лівого пікселя
Top Right	Зверху праворуч
Top left	Зверху ліворуч
Top right	Зверху праворуч
Trace Contour…	Трасування контуру…
Traces the active layer's colours into shape layers, one per colour.	Переводить кольори активного шару в шари-фігури, по одному на колір.
Transform	Трансформування
Transform Layer	Трансформувати шар
Transform Selection	Трансформувати виділення
Transparency	Прозорість
Transparent Pixels	Прозорі пікселі
Trim Away	Обрізати
Trim…	Тримінг…
Tritone	Тріотон
Turn on Resample to change the pixel count.	Увімкніть «Інтерполяцію», щоб змінити кількість пікселів.
Twirl…	Скручування…
Twist	Скрутка
Two variables share a name	Дві змінні мають однакову назву
Type	Текст
Type a zoom level	Введіть масштаб
Type is edited in Character and Paragraph	Текст редагується на панелях «Символ» і «Абзац»
Type tool defaults	Типові параметри інструмента «Текст»
UI scale	Масштаб інтерфейсу
URL	URL
US Letter	US Letter
Ultra Condensed	Надстиснутий
Ultra Expanded	Надрозтягнутий
Underlying Layer	Нижчий шар
Undo	Скасувати
Ungroup Layers	Розгрупувати шари
Uniform	Рівномірне
Unite Shapes	Об'єднати фігури
Units	Одиниці
Unmake Frames	Розібрати кадри
Unsaved changes	Незбережені зміни
Unsharp Mask…	Контурна різкість…
Update the applied comp from the layers	Оновити застосовану композицію за шарами
Use Black Point Compensation	Використовувати компенсацію точки чорного
Use global light	Глобальне освітлення
Using:	Використовується:
Vanishing Point…	Виправлення перспективи…
Variables	Змінні
Variance	Дисперсія
Vector Mask	Векторна маска
Vector density	Щільність вектора
Vector enabled	Вектор увімкнено
Vector feather	Розтушовування вектора
Vector invert	Інверсія вектора
Vector mask	Векторна маска
Vectorize	Векторизувати
Vectorize Bitmap	Векторизувати растр
Vectorize Bitmap…	Векторизувати растр…
Vertical Centers	Центри по вертикалі
Vertical Distortion	Викривлення по вертикалі
Vertical center guide	Вертикальна центральна напрямна
Vertical scale, in percent: stretches the glyphs about the baseline; leading is unchanged	Масштаб по вертикалі у відсотках: розтягує гліфи відносно базової лінії; інтерліньяж не змінюється
Vertically	По вертикалі
Vibrance	Вібрація
Vibrance…	Вібрація…
View	Перегляд
Violet	Фіолетовий
Visibility	Видимість
Visible adjustment layers	Видимі коригувальні шари
Vivid Light	Яскраве світло
W	Ш
WEBP…	WEBP…
Waiting for the composite…	Очікування поєднаного зображення…
Warm	Теплий
Warp	Деформація
Warp Style	Стиль деформації
Warp Text	Деформувати текст
Warp Text…	Деформувати текст…
Wave	Хвиля
Wavelet Decompose	Вейвлет-розклад
Wavelet Decompose splits into 2 to 7 scales	Вейвлет-розклад ділить на 2–7 масштабів
Wavelet Decompose works on an sRGB document	Вейвлет-розклад працює з документом sRGB
Wavelet Decompose: the layer has no pixels	Вейвлет-розклад: у шарі немає пікселів
Wavelet Decompose: {n} detail layers over a residual; the source layer is hidden	Вейвлет-розклад: {n} шарів деталей над залишком; вихідний шар приховано
Wavelet Decompose…	Вейвлет-розклад…
Wave…	Хвиля…
Web (216)	Веб (216)
WebP (lossless)	WebP (без втрат)
WebP (lossy)	WebP (із втратами)
Weight	Товщина шрифту
White	Білий
White to Black	Від білого до чорного
Whites	Білі
Width	Ширина
Width and height must be at least 1 pixel	Ширина й висота мають бути не менше 1 пікселя
Width must be between 1 and 250 pixels	Ширина має бути від 1 до 250 пікселів
Width to 110%	Ширина до 110%
Width to 125%	Ширина до 125%
Width to 80%	Ширина до 80%
Width to 90%	Ширина до 90%
Window	Вікно
Wind…	Вітер…
With Handles	З маркерами
Work Path	Робочий контур
Workspace	Робоче середовище
Wrap to box	Переносити за рамкою
Writes the visible adjustment layers, applied to an identity lattice, as a 3D LUT (.cube).	Записує видимі коригувальні шари, застосовані до одиничної ґратки, як 3D LUT (.cube).
Written as CMYK: a naive ink model, not an ICC press profile.	Записано в CMYK: спрощена модель фарб, не друкарський профіль ICC.
Written as XMP into PNG, JPEG and TIFF files by Export As.	Записується командою «Експортувати як» у вигляді XMP у файли PNG, JPEG і TIFF.
Written with the document's palette.	Записано з палітрою документа.
Yellow	Жовтий
Yellow / Blue	Жовтий / Синій
Yellows	Жовті
ZigZag…	Зигзаг…
Zoom In	Збільшити
Zoom Out	Зменшити
Zoom in	Збільшити
Zoom out	Зменшити
Zoom to Selection	Масштаб за виділенням
a layer could not be rewritten	не вдалося перезаписати шар
before / after	до / після
changed	змінено
content thumbnail — click to edit the layer's pixels	мініатюра вмісту — клацніть, щоб редагувати пікселі шару
dpi	dpi
edits are aimed at this mask — right-click for view and mask options	редагування спрямовано на цю маску — правий клік відкриває параметри вигляду й маски
lines past the box	рядків за межами рамки
mask off	маску вимк.
mask thumbnail — click to edit the layer's mask	мініатюра маски — клацніть, щоб редагувати маску шару
minutes (0 is off)	хвилин (0 — вимк.)
no drop	не можна скинути
px	пікс.
records here	запис сюди
skipped on play:	пропускається під час відтворення:
the layers could not be added	не вдалося додати шари
the profile cannot be transformed ({error})	профіль не можна перетворити ({error})
to	до
vector mask thumbnail — click to edit the vector mask	мініатюра векторної маски — клацніть, щоб редагувати векторну маску
{format}: the timeline, {frames} frames at {fps} fps over {length} ms; each frame shows the layers at its time	{format}: шкала часу, {frames} кадрів при {fps} кадр/с за {length} мс; кожен кадр показує шари у свій час
{label} is not answered by this route	На {label} цей шлях не відповідає
{label} was refused: {reason}	{label} відхилено: {reason}
{name} Residual	{name} Залишок
{name} Scale {k}	{name} Масштаб {k}
{name}: {n} pages	{name}: сторінок: {n}
{n} slices from the guides ({cols} x {rows}); they replace the slices there were	Фрагментів за напрямними: {n} ({cols} x {rows}); вони замінюють попередні фрагменти
{path} is a {space} profile; an RGB document takes an RGB profile	{path} — профіль {space}; документу RGB потрібен профіль RGB
{path} is {len} bytes, larger than any colour profile	{path} займає {len} байтів — більше за будь-який колірний профіль
{reason}; this one is {space}	{reason}; у цього — {space}
