# Raster Studio interface strings, tr. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Türkçe
Shape Mosaic…	Şekil Mozaiği…
Shape Properties	Şekil Özellikleri
Sharpen	Keskinleştir
Sharpen Edges	Kenarları Keskinleştir
Sharpen More	Daha Fazla Keskinleştir
Sharpest, with a little ringing on hard edges.	En keskin; sert kenarlarda biraz halka oluşur.
Shear…	Makaslama…
Shift Edge	Kenarı Kaydır
Show	Göster
Show / Hide Layer	Katmanı Göster / Gizle
Show / hide layer	Katmanı göster / gizle
Show / hide the effects list	Efekt listesini göster / gizle
Show / hide the layer style	Katman stilini göster / gizle
Show / hide this channel	Bu kanalı göster / gizle
Show / hide this effect	Bu efekti göster / gizle
Show / hide this path	Bu yolu göster / gizle
Show / hide this smart filter	Bu akıllı filtreyi göster / gizle
Show Layers	Katmanları Göster
Show every layer	Her katmanı göster
Show or hide the position, size and alignment fields	Konum, boyut ve hizalama alanlarını göster veya gizle
Show or hide the recorded steps	Kaydedilen adımları göster veya gizle
Show or hide the set's actions	Setin eylemlerini göster veya gizle
Show this alpha channel alone in grayscale and paint into it; click again to store it	Bu alfa kanalını tek başına gri tonlamada göster ve içine boya; saklamak için yeniden tıklayın
Sides	Kenarlar
Similar	Benzer
Size	Boyut
Size jitter	Boyut titreşimi
Skew	Eğ
Skewness	Çarpıklık
Slice Options	Dilim Seçenekleri
Slice Options…	Dilim Seçenekleri…
Slices	Dilimler
Slices from Guides	Kılavuzlardan Dilimler
Slices…	Dilimler…
Small	Küçük
Small Caps	Küçük Büyük Harf
Smart Blur…	Akıllı Bulanıklaştırma…
Smart Filter	Akıllı Filtre
Smart Filters	Akıllı Filtreler
Smart Guides	Akıllı Kılavuzlar
Smart Object	Akıllı Nesne
Smart Sharpen…	Akıllı Keskinleştirme…
Smart filter mask: click to paint on it	Akıllı filtre maskesi: üzerine boyamak için tıklayın
Smooth	Yumuşak
Smooth Selection	Seçimi Düzleştir
Smooth draws grey-scale edges; None draws hard, aliased edges. The glyph scaler has one smooth mode, so Sharp, Crisp and Strong are not offered.	Yumuşak gri tonlamalı kenarlar çizer; Yok sert, tırtıklı kenarlar çizer. Glif ölçekleyicinin tek bir yumuşak modu vardır, bu yüzden Keskin, Net ve Güçlü sunulmaz.
Smooth…	Düzleştir…
Snap	Yasla
Snap To	Şuna Yasla
Soft Light	Yumuşak Işık
Soft Round 100	Yumuşak Yuvarlak 100
Soft Round 24	Yumuşak Yuvarlak 24
Soft and cheap. Good for a small enlargement.	Yumuşak ve ucuz. Küçük bir büyütme için iyi.
Softer Brush	Daha Yumuşak Fırça
Solarize	Solarize
Solid Color…	Düz Renk…
Solidity	Katılık
Source	Kaynak
Source 1	Kaynak 1
Source 2	Kaynak 2
Source Space	Kaynak Alan
Spectrum	Spektrum
Spherize…	Küreselleştir…
Spin Blur…	Dönme Bulanıklığı…
Splits the active layer into Linear Light detail layers over a residual, finest on top; together they recomposite to the layer.	Etkin katmanı bir artığın üzerinde Doğrusal Işık ayrıntı katmanlarına böler, en ince olan üstte; birlikte katmanı yeniden oluştururlar.
Spot Channel	Spot Kanal
Spot Channel Options…	Spot Kanal Seçenekleri…
Spot channel: composited over the image as its ink	Spot kanal: görüntünün üzerine mürekkebi olarak birleştirilir
Square	Kare
Squeeze	Sıkıştır
Stack Mode	Yığın Modu
Stamp Visible	Görüneni Damgala
Standard	Standart
Standard Deviation	Standart Sapma
Standard ligatures	Standart bitişik harfler
Step Backward	Geri Adım
Step Forward	İleri Adım
Stop	Durdur
Straighten Layer	Katmanı Düzelt
Strength	Güç
Stroke	Kontur
Stroke path with the foreground colour at the brush size, on a new shape layer	Yolun konturunu ön plan rengiyle fırça boyutunda yeni bir şekil katmanında çiz
Stroke…	Kontur…
Style	Stil
Styles	Stiller
Styles enabled	Stiller etkin
Stylize	Stilize Et
Sub	Alt
Subject	Konu
Subtract	Çıkar
Subtract Front Shape	Öndeki Şekli Çıkar
Subtract from Selection	Seçimden Çıkar
Summation	Toplam
Sunset	Gün Batımı
Super	Üst
Superscript raises and shrinks the text; subscript lowers and shrinks it.	Üst simge metni yükseltir ve küçültür; alt simge alçaltır ve küçültür.
Surface Blur…	Yüzey Bulanıklaştırma…
Swap colours  (X)	Renkleri değiştir  (X)
Swap foreground and background (X)	Ön plan ve arka planı değiştir (X)
Swatches	Renk Örnekleri
TGA…	TGA…
TIF…	TIF…
Templates	Şablonlar
Text	Metin
Text Properties	Metin Özellikleri
Text overflows the box	Metin kutudan taşıyor
Text replacement	Metin değiştirme
Texture Dilation…	Doku Genişletme…
That channel is no longer in the document	O kanal artık belgede değil
That file could not be used:	Bu dosya kullanılamadı:
The CSV ends inside a quoted field	CSV tırnak içindeki bir alanın içinde bitiyor
The CSV has a header but no data sets	CSV'de başlık var ama veri kümesi yok
The CSV is empty	CSV boş
The CSV names a variable that is not defined:	CSV tanımlanmamış bir değişkeni adlandırıyor:
The active layer is not in the document	Etkin katman belgede değil
The active smart object shows each image of the source folder in turn; each result is exported as a PNG to the destination folder.	Etkin akıllı nesne kaynak klasördeki her görüntüyü sırayla gösterir; her sonuç hedef klasöre PNG olarak dışa aktarılır.
The amount must be within	Miktar şu aralıkta olmalı:
The angle must be a finite number of degrees	Açı sonlu bir derece sayısı olmalı
The balanced default for photographs.	Fotoğraflar için dengeli varsayılan.
The canvas grows to fit the rotated image.	Tuval, döndürülen görüntüyü sığdıracak kadar büyür.
The canvas must be at least 1 x 1 pixel	Tuval en az 1 x 1 piksel olmalı
The cell size must be 2 to 200 pixels	Hücre boyutu 2 ile 200 piksel arasında olmalı
The cut is empty: paint more of the part to keep.	Kesim boş: tutulacak kısımdan daha fazlasını boyayın.
The destination is the profile the document already has	Hedef, belgenin zaten sahip olduğu profil
The destination must be another folder than the source.	Hedef, kaynaktan farklı bir klasör olmalı.
The document has no layers	Belgede katman yok
The document is already in {name}	Belge zaten {name} içinde
The document is already tagged with this profile	Belge zaten bu profille etiketli
The document is already tagged {name}	Belge zaten {name} ile etiketli
The document's own profile: {error}	Belgenin kendi profili: {error}
The first {shown} of {n} pages are listed; a longer file opens only those.	{n} sayfanın ilk {shown} tanesi listelenir; daha uzun bir dosya yalnızca bunları açar.
The image has no opaque pixels to count	Görüntüde sayılacak opak piksel yok
The ink is laid over the image; the selection, if there is one, is where it prints.	Mürekkep görüntünün üzerine serilir; seçim varsa basıldığı yer orasıdır.
The last stop has no segment after it.	Son duraktan sonra segment yok.
The layer has no pixels to cut.	Katmanda kesilecek piksel yok.
The layer's pixels are locked	Katmanın pikselleri kilitli
The list is empty	Liste boş
The margins and gutters leave no room for a column or a row	Kenar boşlukları ve oluklar bir sütun ya da satır için yer bırakmıyor
The margins and gutters leave no room for a column or a row.	Kenar boşlukları ve oluklar bir sütun ya da satır için yer bırakmıyor.
The name cannot be empty	Ad boş olamaz
The name has not changed	Ad değişmedi
The name is the file File > Export > Slices writes this slice as. The URL and Alt Tag go into the HTML page it writes beside the images.	Ad, Dosya > Dışa Aktar > Dilimler'in bu dilimi yazdığı dosyadır. URL ve Alt Etiketi, görüntülerin yanına yazdığı HTML sayfasına girer.
The new canvas is smaller — content outside it will be clipped.	Yeni tuval daha küçük — dışında kalan içerik kırpılacak.
The next text layer the Type tool creates starts with this style.	Metin aracının oluşturacağı bir sonraki metin katmanı bu stille başlar.
The panel is already on this side	Panel zaten bu tarafta
The path encloses no pixel of the canvas	Yol tuvalin hiçbir pikselini çevrelemiyor
The position must be a finite number	Konum sonlu bir sayı olmalı
The preview runs the real brush engine.	Önizleme gerçek fırça motorunu çalıştırır.
The resolution must be 1 to 2400 ppi	Çözünürlük 1 ile 2400 ppi arasında olmalı
The resolution must be {min} to {max} dpi	Çözünürlük {min} ile {max} dpi arasında olmalı
The rulers and the size readouts use this unit	Cetveller ve boyut göstergeleri bu birimi kullanır
The scale must be between 1% and 1000%	Ölçek %1 ile %1000 arasında olmalı
The selection is kept with the document under this name	Seçim bu adla belgeyle birlikte saklanır
The source and destination must be different folders	Kaynak ve hedef farklı klasörler olmalı
The steps this snapshot named have been discarded	Bu anlık görüntünün adlandırdığı adımlar atıldı
The table needs a name	Tablonun bir adı olmalı
The warp has not changed	Çarpıtma değişmedi
There are no guides to slice along	Boyunca dilimlenecek kılavuz yok
There are no slices to clear	Temizlenecek dilim yok
There is no history to clear	Temizlenecek geçmiş yok
There is no live selection to combine with	Birleştirilecek canlı bir seçim yok
These are matrix-shaper profiles, which carry no perceptual or saturation tables: those two intents convert as Relative Colorimetric.	Bunlar algısal veya doygunluk tabloları taşımayan matris-şekillendirici profillerdir: bu iki amaç Göreli Kolorimetrik olarak dönüştürülür.
Thin	İnce
Third-party notices	Üçüncü taraf bildirimleri
This Layer	Bu Katman
This adjustment has no panel controls	Bu ayarlamanın panel denetimi yok
This adjustment has no settings.	Bu ayarlamanın ayarı yok.
This build keeps channels on layers; it has no free-standing alpha channels yet	Bu sürüm kanalları katmanlarda tutar; henüz bağımsız alfa kanalları yok
This effect is off. Tick it in the list to edit it.	Bu efekt kapalı. Düzenlemek için listede işaretleyin.
This format cannot store CMYK, so the document is written as RGB. Choose JPEG or TIFF for CMYK.	Bu biçim CMYK saklayamaz, bu yüzden belge RGB olarak yazılır. CMYK için JPEG veya TIFF seçin.
This format could not be previewed.	Bu biçim önizlenemedi.
This format has no metadata slot: nothing is embedded	Bu biçimde meta veri yuvası yok: hiçbir şey gömülmez
This format has no palette, so the indexed colours are written as RGB. Choose PNG or GIF for the palette.	Bu biçimde palet yok, bu yüzden dizinlenmiş renkler RGB olarak yazılır. Palet için PNG veya GIF seçin.
This format stores 8 bits per channel	Bu biçim kanal başına 8 bit saklar
This is a Lab document. No format here stores Lab, so it is converted to RGB on export.	Bu bir Lab belgesi. Buradaki hiçbir biçim Lab saklamaz, bu yüzden dışa aktarmada RGB'ye dönüştürülür.
This layer has no mask	Bu katmanın maskesi yok
This panel is already at the bottom of its dock	Bu panel zaten yuvasının en altında
This panel is already at the top of its dock	Bu panel zaten yuvasının en üstünde
This tool has no options	Bu aracın seçeneği yok
This tool is already at its defaults	Bu araç zaten varsayılanlarında
This window cannot read screen pixels, so the eyedropper is unavailable	Bu pencere ekran piksellerini okuyamıyor, bu yüzden damlalık kullanılamıyor
This works on a pixel layer; the active layer is a {kind}	Bu bir piksel katmanında çalışır; etkin katman bir {kind}
This works on an 8-bit document	Bu 8 bit bir belgede çalışır
This works on an RGB document	Bu bir RGB belgesinde çalışır
Threshold	Eşik
Threshold…	Eşik…
Thumbnail Size	Küçük Resim Boyutu
Thumbnail size	Küçük resim boyutu
Thumbnails by Document	Belgeye Göre Küçük Resimler
Thumbnails by Layer	Katmana Göre Küçük Resimler
Tiles/List	Döşemeler/Liste
Tiles…	Döşemeler…
Tilt-Shift…	Eğim-Kaydırma…
Timeline	Zaman Çizelgesi
Tint	Renk tonu
Tint hue	Renk tonu rengi
Tint saturation	Renk tonu doygunluğu
To canvas	Tuvale
Toggle Link	Bağlantıyı Aç/Kapat
Tonal width	Ton genişliği
Tone	Ton
Tone and Detail	Ton ve Ayrıntı
Tool Presets	Araç Ön Ayarları
Top	Üst
Top Edges	Üst Kenarlar
Top Left	Sol Üst
Top Left Pixel Color	Sol Üst Piksel Rengi
Top Right	Sağ Üst
Top left	Sol üst
Top right	Sağ üst
Trace Contour…	Konturu İzle…
Traces the active layer's colours into shape layers, one per colour.	Etkin katmanın renklerini her renk için bir tane olmak üzere şekil katmanlarına aktarır.
Transform	Dönüştür
Transform Layer	Katmanı Dönüştür
Transform Selection	Seçimi Dönüştür
Transparency	Saydamlık
Transparent Pixels	Saydam Pikseller
Trim	Kırp
Trim Away	Kırp
Trim…	Kırp…
Tritone	Üç Ton
Turn on Resample to change the pixel count.	Piksel sayısını değiştirmek için Yeniden Örnekle'yi açın.
Twirl…	Döndür…
Twist	Bük
Two variables share a name	İki değişken aynı adı paylaşıyor
Type	Yazı
Type a zoom level	Bir yakınlaştırma düzeyi yazın
Type is edited in Character and Paragraph	Yazı, Karakter ve Paragraf'ta düzenlenir
Type tool defaults	Metin aracı varsayılanları
UI scale	Arayüz ölçeği
URL	URL
US Letter	ABD Letter
Ultra Condensed	Çok Dar
Ultra Expanded	Çok Geniş
Underlying Layer	Alttaki Katman
Undo	Geri Al
Ungroup Layers	Katmanların Grubunu Çöz
Uniform	Tekdüze
Unite Shapes	Şekilleri Birleştir
Units	Birimler
Unmake Frames	Kareleri Kaldır
Unsaved changes	Kaydedilmemiş değişiklikler
Unsharp Mask…	Keskinliği Azaltma Maskesi…
Update the applied comp from the layers	Uygulanan kompozisyonu katmanlardan güncelle
Use Black Point Compensation	Siyah Nokta Telafisi Kullan
Use global light	Genel ışığı kullan
Using:	Kullanılan:
Vanishing Point…	Kaybolma Noktası…
Variables	Değişkenler
Variance	Varyans
Vector Mask	Vektör Maskesi
Vector density	Vektör yoğunluğu
Vector enabled	Vektör etkin
Vector feather	Vektör yumuşatma
Vector invert	Vektörü ters çevir
Vector mask	Vektör maskesi
Vectorize	Vektörleştir
Vectorize Bitmap	Bitmap'i Vektörleştir
Vectorize Bitmap…	Bitmap'i Vektörleştir…
Vertical Centers	Dikey Merkezler
Vertical Distortion	Dikey Bozulma
Vertical center guide	Dikey merkez kılavuzu
Vertical scale, in percent: stretches the glyphs about the baseline; leading is unchanged	Yüzde olarak dikey ölçek: glifleri taban çizgisi etrafında uzatır; satır aralığı değişmez
Vertically	Dikey olarak
Vibrance	Titreşim
Vibrance…	Titreşim…
View	Görünüm
Violet	Menekşe
Visibility	Görünürlük
Visible adjustment layers	Görünen ayarlama katmanları
Vivid Light	Canlı Işık
W	G
WEBP…	WEBP…
Waiting for the composite…	Birleşik görüntü bekleniyor…
Warm	Sıcak
Warp	Çarpıt
Warp Style	Çarpıtma Stili
Warp Text	Metni Çarpıt
Warp Text…	Metni Çarpıt…
Wave	Dalga
Wavelet Decompose	Dalgacık Ayrıştırma
Wavelet Decompose splits into 2 to 7 scales	Dalgacık Ayrıştırma 2 ile 7 ölçeğe böler
Wavelet Decompose works on an sRGB document	Dalgacık Ayrıştırma bir sRGB belgesinde çalışır
Wavelet Decompose: the layer has no pixels	Dalgacık Ayrıştırma: katmanda piksel yok
Wavelet Decompose: {n} detail layers over a residual; the source layer is hidden	Dalgacık Ayrıştırma: bir artığın üzerinde {n} ayrıntı katmanı; kaynak katman gizlendi
Wavelet Decompose…	Dalgacık Ayrıştırma…
Wave…	Dalga…
Web (216)	Web (216)
WebP (lossless)	WebP (kayıpsız)
WebP (lossy)	WebP (kayıplı)
Weight	Kalınlık
White	Beyaz
White to Black	Beyazdan Siyaha
Whites	Beyazlar
Width	Genişlik
Width and height must be at least 1 pixel	Genişlik ve yükseklik en az 1 piksel olmalı
Width must be between 1 and 250 pixels	Genişlik 1 ile 250 piksel arasında olmalı
Width to 110%	Genişliği %110 yap
Width to 125%	Genişliği %125 yap
Width to 80%	Genişliği %80 yap
Width to 90%	Genişliği %90 yap
Window	Pencere
Wind…	Rüzgar…
With Handles	Tutamaçlarla
Work Path	Çalışma Yolu
Workspace	Çalışma Alanı
Wrap to box	Kutuya sar
Writes the visible adjustment layers, applied to an identity lattice, as a 3D LUT (.cube).	Görünen ayarlama katmanlarını bir kimlik kafesine uygulanmış olarak 3B LUT (.cube) biçiminde yazar.
Written as CMYK: a naive ink model, not an ICC press profile.	CMYK olarak yazıldı: basit bir mürekkep modeli, ICC baskı profili değil.
Written as XMP into PNG, JPEG and TIFF files by Export As.	Farklı Dışa Aktar tarafından PNG, JPEG ve TIFF dosyalarına XMP olarak yazılır.
Written with the document's palette.	Belgenin paletiyle yazıldı.
Yellow	Sarı
Yellow / Blue	Sarı / Mavi
Yellows	Sarılar
ZigZag…	Zikzak…
Zoom In	Yakınlaştır
Zoom Out	Uzaklaştır
Zoom in	Yakınlaştır
Zoom out	Uzaklaştır
Zoom to Selection	Seçime Yakınlaştır
a layer could not be rewritten	bir katman yeniden yazılamadı
before / after	önce / sonra
changed	değişti
content thumbnail — click to edit the layer's pixels	içerik küçük resmi — katmanın piksellerini düzenlemek için tıklayın
dpi	dpi
edits are aimed at this mask — right-click for view and mask options	düzenlemeler bu maskeye yöneliktir — görünüm ve maske seçenekleri için sağ tıklayın
lines past the box	kutunun ötesindeki satırlar
mask off	maske kapalı
mask thumbnail — click to edit the layer's mask	maske küçük resmi — katmanın maskesini düzenlemek için tıklayın
minutes (0 is off)	dakika (0 kapalı)
no drop	bırakılamaz
px	px
records here	buraya kaydeder
skipped on play:	oynatmada atlandı:
the layers could not be added	katmanlar eklenemedi
the profile cannot be transformed ({error})	profil dönüştürülemiyor ({error})
to	ile
vector mask thumbnail — click to edit the vector mask	vektör maskesi küçük resmi — vektör maskesini düzenlemek için tıklayın
{format}: the timeline, {frames} frames at {fps} fps over {length} ms; each frame shows the layers at its time	{format}: zaman çizelgesi, {length} ms boyunca {fps} fps ile {frames} kare; her kare katmanları kendi zamanında gösterir
{label} is not answered by this route	{label} bu yoldan yanıtlanmıyor
{label} was refused: {reason}	{label} reddedildi: {reason}
{name} Residual	{name} Artık
{name} Scale {k}	{name} Ölçek {k}
{name}: {n} pages	{name}: {n} sayfa
{n} slices from the guides ({cols} x {rows}); they replace the slices there were	Kılavuzlardan {n} dilim ({cols} x {rows}); mevcut dilimlerin yerini alırlar
{path} is a {space} profile; an RGB document takes an RGB profile	{path} bir {space} profili; bir RGB belgesi RGB profili alır
{path} is {len} bytes, larger than any colour profile	{path} {len} bayt, herhangi bir renk profilinden büyük
{reason}; this one is {space}	{reason}; bu {space}
