# Raster Studio interface strings, fr. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Français
Text overflows the box	Le texte déborde du cadre
Text replacement	Remplacement du texte
Texture Dilation…	Dilatation de texture…
That channel is no longer in the document	Cette couche n’est plus dans le document
That file could not be used:	Ce fichier n’a pas pu être utilisé :
The CSV ends inside a quoted field	Le CSV se termine à l’intérieur d’un champ entre guillemets
The CSV has a header but no data sets	Le CSV a un en-tête mais aucun jeu de données
The CSV is empty	Le CSV est vide
The CSV names a variable that is not defined:	Le CSV nomme une variable qui n’est pas définie :
The active layer is not in the document	Le calque actif n’est pas dans le document
The active smart object shows each image of the source folder in turn; each result is exported as a PNG to the destination folder.	L’objet dynamique actif affiche tour à tour chaque image du dossier source ; chaque résultat est exporté en PNG dans le dossier de destination.
The amount must be within	La valeur doit être comprise entre
The angle must be a finite number of degrees	L’angle doit être un nombre fini de degrés
The balanced default for photographs.	Le réglage par défaut équilibré pour les photos.
The canvas grows to fit the rotated image.	La zone de travail s’agrandit pour contenir l’image pivotée.
The canvas must be at least 1 x 1 pixel	La zone de travail doit faire au moins 1 x 1 pixel
The cell size must be 2 to 200 pixels	La taille de cellule doit être de 2 à 200 pixels
The cut is empty: paint more of the part to keep.	La découpe est vide : peignez davantage la partie à garder.
The destination is the profile the document already has	La destination est le profil que le document a déjà
The destination must be another folder than the source.	La destination doit être un autre dossier que la source.
The document has no layers	Le document n’a aucun calque
The document is already in {name}	Le document est déjà en {name}
The document is already tagged with this profile	Le document porte déjà ce profil
The document is already tagged {name}	Le document porte déjà {name}
The document's own profile: {error}	Le profil propre du document : {error}
The first {shown} of {n} pages are listed; a longer file opens only those.	Les {shown} premières pages sur {n} sont listées ; un fichier plus long n’ouvre que celles-ci.
The image has no opaque pixels to count	L’image n’a aucun pixel opaque à compter
The ink is laid over the image; the selection, if there is one, is where it prints.	L’encre est posée sur l’image ; la sélection, s’il y en a une, est l’endroit où elle s’imprime.
The last stop has no segment after it.	Le dernier point n’a aucun segment après lui.
The layer has no pixels to cut.	Le calque n’a aucun pixel à découper.
The layer's pixels are locked	Les pixels du calque sont verrouillés
The list is empty	La liste est vide
The margins and gutters leave no room for a column or a row	Les marges et les gouttières ne laissent pas de place pour une colonne ou une rangée
The margins and gutters leave no room for a column or a row.	Les marges et les gouttières ne laissent pas de place pour une colonne ou une rangée.
The name cannot be empty	Le nom ne peut pas être vide
The name has not changed	Le nom n’a pas changé
The name is the file File > Export > Slices writes this slice as. The URL and Alt Tag go into the HTML page it writes beside the images.	Le nom est celui du fichier sous lequel Fichier > Exporter > Tranches écrit cette tranche. L’URL et la balise Alt vont dans la page HTML écrite à côté des images.
The new canvas is smaller — content outside it will be clipped.	La nouvelle zone de travail est plus petite : le contenu hors de celle-ci sera coupé.
The next text layer the Type tool creates starts with this style.	Le prochain calque de texte créé par l’outil Texte commence avec ce style.
The panel is already on this side	Le panneau est déjà de ce côté
The path encloses no pixel of the canvas	Le tracé n’entoure aucun pixel de la zone de travail
The position must be a finite number	La position doit être un nombre fini
The preview runs the real brush engine.	L’aperçu utilise le vrai moteur de formes.
The resolution must be 1 to 2400 ppi	La résolution doit être de 1 à 2400 ppp
The resolution must be {min} to {max} dpi	La résolution doit être de {min} à {max} ppp
The rulers and the size readouts use this unit	Les règles et les mesures de taille utilisent cette unité
The scale must be between 1% and 1000%	L’échelle doit être comprise entre 1 % et 1000 %
The selection is kept with the document under this name	La sélection est conservée avec le document sous ce nom
The source and destination must be different folders	La source et la destination doivent être des dossiers différents
The steps this snapshot named have been discarded	Les étapes que nommait cet instantané ont été supprimées
The table needs a name	La table doit avoir un nom
The warp has not changed	La déformation n’a pas changé
There are no guides to slice along	Il n’y a aucun repère le long duquel découper
There are no slices to clear	Il n’y a aucune tranche à effacer
There is no history to clear	Il n’y a aucun historique à effacer
There is no live selection to combine with	Il n’y a aucune sélection active avec laquelle combiner
These are matrix-shaper profiles, which carry no perceptual or saturation tables: those two intents convert as Relative Colorimetric.	Ce sont des profils de type matrice, sans tables de perception ni de saturation : ces deux modes sont convertis en Colorimétrie relative.
Thin	Fin
Third-party notices	Mentions de tiers
This Layer	Ce calque
This adjustment has no panel controls	Ce réglage n’a pas de commandes dans le panneau
This adjustment has no settings.	Ce réglage n’a pas de paramètres.
This build keeps channels on layers; it has no free-standing alpha channels yet	Cette version conserve les couches dans les calques ; elle n’a pas encore de couches alpha indépendantes
This effect is off. Tick it in the list to edit it.	Cet effet est désactivé. Cochez-le dans la liste pour le modifier.
This format cannot store CMYK, so the document is written as RGB. Choose JPEG or TIFF for CMYK.	Ce format ne peut pas stocker le CMJN, le document est donc écrit en RVB. Choisissez JPEG ou TIFF pour le CMJN.
This format could not be previewed.	Ce format n’a pas pu être prévisualisé.
This format has no metadata slot: nothing is embedded	Ce format n’a pas d’emplacement pour les métadonnées : rien n’est incorporé
This format has no palette, so the indexed colours are written as RGB. Choose PNG or GIF for the palette.	Ce format n’a pas de palette, les couleurs indexées sont donc écrites en RVB. Choisissez PNG ou GIF pour la palette.
This format stores 8 bits per channel	Ce format stocke 8 bits par couche
This is a Lab document. No format here stores Lab, so it is converted to RGB on export.	C’est un document Lab. Aucun format ici ne stocke le Lab, il est donc converti en RVB à l’export.
This layer has no mask	Ce calque n’a pas de masque
This panel is already at the bottom of its dock	Ce panneau est déjà en bas de son dock
This panel is already at the top of its dock	Ce panneau est déjà en haut de son dock
This tool has no options	Cet outil n’a pas d’options
This tool is already at its defaults	Cet outil a déjà ses valeurs par défaut
This window cannot read screen pixels, so the eyedropper is unavailable	Cette fenêtre ne peut pas lire les pixels de l’écran, la pipette n’est donc pas disponible
This works on a pixel layer; the active layer is a {kind}	Cela fonctionne sur un calque de pixels ; le calque actif est de type {kind}
This works on an 8-bit document	Cela fonctionne sur un document 8 bits
This works on an RGB document	Cela fonctionne sur un document RVB
Threshold	Seuil
Threshold…	Seuil…
Thumbnail Size	Taille des vignettes
Thumbnail size	Taille des vignettes
Thumbnails by Document	Vignettes par document
Thumbnails by Layer	Vignettes par calque
Tiles/List	Mosaïque/Liste
Tiles…	Carreaux…
Tilt-Shift…	Flou inclinaison-décalage…
Timeline	Montage
Tint	Teinte
Tint hue	Teinte de la couleur
Tint saturation	Saturation de la couleur
To canvas	Sur la zone de travail
Toggle Link	Activer/désactiver le lien
Tonal width	Largeur tonale
Tone	Ton
Tone and Detail	Ton et détails
Tool Presets	Outils prédéfinis
Top	Haut
Top Edges	Bords supérieurs
Top Left	En haut à gauche
Top Left Pixel Color	Couleur du pixel en haut à gauche
Top Right	En haut à droite
Top left	En haut à gauche
Top right	En haut à droite
Trace Contour…	Tracé des contours…
Traces the active layer's colours into shape layers, one per colour.	Vectorise les couleurs du calque actif en calques de forme, un par couleur.
Transform	Transformation
Transform Layer	Transformer le calque
Transform Selection	Transformer la sélection
Transparency	Transparence
Transparent Pixels	Pixels transparents
Trim	Rogner
Trim Away	Supprimer
Trim…	Rogner…
Tritone	Trichromie
Turn on Resample to change the pixel count.	Activez Rééchantillonnage pour changer le nombre de pixels.
Twirl…	Tourbillon…
Twist	Torsion
Two variables share a name	Deux variables portent le même nom
Type	Texte
Type a zoom level	Saisissez un niveau de zoom
Type is edited in Character and Paragraph	Le texte se modifie dans Caractère et Paragraphe
Type tool defaults	Valeurs par défaut de l’outil Texte
UI scale	Échelle de l’interface
URL	URL
US Letter	Lettre US
Ultra Condensed	Ultra-étroit
Ultra Expanded	Ultra-large
Underlying Layer	Calque sous-jacent
Undo	Annuler
Ungroup Layers	Dissocier les calques
Uniform	Uniforme
Unite Shapes	Unir les formes
Units	Unités
Unmake Frames	Défaire les images
Unsaved changes	Modifications non enregistrées
Unsharp Mask…	Accentuation…
Update the applied comp from the layers	Mettre à jour la composition appliquée d’après les calques
Use Black Point Compensation	Utiliser la compensation du point noir
Use global light	Utiliser la lumière globale
Using:	Utilisé :
Vanishing Point…	Point de fuite…
Variables	Variables
Variance	Variance
Vector Mask	Masque vectoriel
Vector density	Densité vectorielle
Vector enabled	Vecteur activé
Vector feather	Contour progressif vectoriel
Vector invert	Inverser le vecteur
Vector mask	Masque vectoriel
Vectorize	Vectoriser
Vectorize Bitmap	Vectoriser le bitmap
Vectorize Bitmap…	Vectoriser le bitmap…
Vertical Centers	Centres verticaux
Vertical Distortion	Déformation verticale
Vertical center guide	Repère central vertical
Vertical scale, in percent: stretches the glyphs about the baseline; leading is unchanged	Échelle verticale, en pourcentage : étire les glyphes autour de la ligne de base ; l’interlignage est inchangé
Vertically	Verticalement
Vibrance	Vibrance
Vibrance…	Vibrance…
View	Affichage
Violet	Violet
Visibility	Visibilité
Visible adjustment layers	Calques de réglage visibles
Vivid Light	Lumière vive
W	L
WEBP…	WEBP…
Waiting for the composite…	En attente de la composition…
Warm	Chaud
Warp	Déformation
Warp Style	Style de déformation
Warp Text	Déformer le texte
Warp Text…	Déformer le texte…
Wave	Onde
Wavelet Decompose	Décomposition en ondelettes
Wavelet Decompose splits into 2 to 7 scales	La décomposition en ondelettes découpe en 2 à 7 échelles
Wavelet Decompose works on an sRGB document	La décomposition en ondelettes fonctionne sur un document sRVB
Wavelet Decompose: the layer has no pixels	Décomposition en ondelettes : le calque n’a aucun pixel
Wavelet Decompose: {n} detail layers over a residual; the source layer is hidden	Décomposition en ondelettes : {n} calques de détail sur un résidu ; le calque source est masqué
Wavelet Decompose…	Décomposition en ondelettes…
Wave…	Ondulation…
Web (216)	Web (216)
WebP (lossless)	WebP (sans perte)
WebP (lossy)	WebP (avec perte)
Weight	Graisse
White	Blanc
White to Black	Blanc à noir
Whites	Blancs
Width	Largeur
Width and height must be at least 1 pixel	La largeur et la hauteur doivent être d’au moins 1 pixel
Width must be between 1 and 250 pixels	La largeur doit être comprise entre 1 et 250 pixels
Width to 110%	Largeur à 110 %
Width to 125%	Largeur à 125 %
Width to 80%	Largeur à 80 %
Width to 90%	Largeur à 90 %
Window	Fenêtre
Wind…	Soufflerie…
With Handles	Avec poignées
Work Path	Tracé de travail
Workspace	Espace de travail
Wrap to box	Adapter au cadre
Writes the visible adjustment layers, applied to an identity lattice, as a 3D LUT (.cube).	Écrit les calques de réglage visibles, appliqués à un treillis identité, sous forme de LUT 3D (.cube).
Written as CMYK: a naive ink model, not an ICC press profile.	Écrit en CMJN : un modèle d’encre simplifié, pas un profil d’impression ICC.
Written as XMP into PNG, JPEG and TIFF files by Export As.	Écrit en XMP dans les fichiers PNG, JPEG et TIFF par Exporter sous.
Written with the document's palette.	Écrit avec la palette du document.
Yellow	Jaune
Yellow / Blue	Jaune / Bleu
Yellows	Jaunes
ZigZag…	Zigzag…
Zoom In	Zoom avant
Zoom Out	Zoom arrière
Zoom in	Zoom avant
Zoom out	Zoom arrière
Zoom to Selection	Zoom sur la sélection
a layer could not be rewritten	un calque n’a pas pu être réécrit
before / after	avant / après
changed	modifié
content thumbnail — click to edit the layer's pixels	vignette du contenu : cliquez pour modifier les pixels du calque
dpi	ppp
edits are aimed at this mask — right-click for view and mask options	les modifications visent ce masque : clic droit pour les options d’affichage et de masque
lines past the box	lignes hors du cadre
mask off	masque désactivé
mask thumbnail — click to edit the layer's mask	vignette du masque : cliquez pour modifier le masque du calque
minutes (0 is off)	minutes (0 = désactivé)
no drop	dépôt impossible
px	px
records here	enregistre ici
skipped on play:	ignoré à l’exécution :
the layers could not be added	les calques n’ont pas pu être ajoutés
the profile cannot be transformed ({error})	le profil ne peut pas être transformé ({error})
to	à
vector mask thumbnail — click to edit the vector mask	vignette du masque vectoriel : cliquez pour modifier le masque vectoriel
{format}: the timeline, {frames} frames at {fps} fps over {length} ms; each frame shows the layers at its time	{format} : le montage, {frames} images à {fps} i/s sur {length} ms ; chaque image montre les calques à son instant
{label} is not answered by this route	{label} n’est pas traité par cette voie
{label} was refused: {reason}	{label} a été refusé : {reason}
{name} Residual	{name} Résidu
{name} Scale {k}	{name} Échelle {k}
{name}: {n} pages	{name} : {n} pages
{n} slices from the guides ({cols} x {rows}); they replace the slices there were	{n} tranches d’après les repères ({cols} x {rows}) ; elles remplacent les tranches existantes
{path} is a {space} profile; an RGB document takes an RGB profile	{path} est un profil {space} ; un document RVB prend un profil RVB
{path} is {len} bytes, larger than any colour profile	{path} fait {len} octets, plus que n’importe quel profil colorimétrique
{reason}; this one is {space}	{reason} ; celui-ci est {space}
